x	t=0	t=1000	t=2000	t=2360
0	0.092020002	0.1946632	0.31850072	1.0520471
2.937931	0.092020002	0.19466222	0.31849974	1.0520461
5.8758621	0.092020002	0.19466126	0.31849882	1.0520452
8.8137931	0.092020002	0.19466033	0.31849793	1.0520443
11.751724	0.092020002	0.19465943	0.3184971	1.0520434
14.689655	0.092020002	0.19465856	0.31849631	1.0520426
17.627586	0.092020002	0.19465772	0.31849557	1.0520418
20.565517	0.092020002	0.1946569	0.31849488	1.0520411
23.503448	0.092020002	0.19465611	0.31849423	1.0520404
26.441379	0.092020002	0.19465535	0.31849362	1.0520397
29.37931	0.092020002	0.19465462	0.31849307	1.0520391
32.317241	0.092020002	0.19465392	0.31849255	1.0520385
35.255172	0.092020002	0.19465324	0.31849208	1.0520379
38.193103	0.092020002	0.1946526	0.31849165	1.0520374
41.131034	0.092020002	0.19465199	0.31849126	1.0520369
44.068966	0.092020002	0.1946514	0.31849091	1.0520364
47.006897	0.092020002	0.19465085	0.3184906	1.052036
49.944828	0.092020002	0.19465034	0.31849032	1.0520356
52.882759	0.092020002	0.19464985	0.31849007	1.0520352
55.82069	0.092020002	0.19464941	0.31848985	1.0520349
58.758621	0.092020002	0.19464899	0.31848966	1.0520346
61.696552	0.092020002	0.19464862	0.3184895	1.0520344
64.634483	0.092020002	0.19464829	0.31848936	1.0520341
67.572414	0.092020002	0.19464799	0.31848924	1.052034
70.510345	0.092020002	0.19464774	0.31848915	1.0520338
73.448276	0.092020002	0.19464753	0.31848907	1.0520337
76.386207	0.092020002	0.19464736	0.31848902	1.0520335
79.324138	0.092020002	0.19464724	0.31848898	1.0520335
82.262069	0.092020002	0.19464717	0.31848895	1.0520334
85.2	0.092020002	0.19464715	0.31848895	1.0520334
