x	t=0	t=1000	t=2000	t=2360
97.2	4.2729614	3.6726853	3.426889	3.351883
99.806897	4.2729614	3.6726655	3.4268702	3.351866
102.41379	4.2729614	3.6726061	3.4268137	3.3518145
105.02069	4.2729614	3.6725077	3.4267197	3.3517284
107.62759	4.2729614	3.6723706	3.4265883	3.3516071
110.23448	4.2729614	3.6721951	3.4264194	3.3514506
112.84138	4.2729614	3.6719816	3.4262132	3.3512584
115.44828	4.2729614	3.6717304	3.4259698	3.3510304
118.05517	4.2729614	3.6714417	3.4256892	3.3507663
120.66207	4.2729614	3.671116	3.4253715	3.3504661
123.26897	4.2729614	3.6707533	3.425017	3.3501294
125.87586	4.2729614	3.670354	3.4246255	3.3497563
128.48276	4.2729614	3.6699182	3.4241973	3.3493466
131.08966	4.2729614	3.6694461	3.4237325	3.3489002
133.69655	4.2729614	3.668938	3.4232311	3.3484169
136.30345	4.2729614	3.6683939	3.4226932	3.3478968
138.91034	4.2729614	3.6678141	3.4221191	3.3473398
141.51724	4.2729614	3.6671985	3.4215086	3.3467458
144.12414	4.2729614	3.6665474	3.4208621	3.3461148
146.73103	4.2729614	3.6658608	3.4201795	3.3454467
149.33793	4.2729614	3.6651388	3.4194608	3.3447415
151.94483	4.2729614	3.6643815	3.4187064	3.3439992
154.55172	4.2729614	3.6635888	3.417916	3.3432198
157.15862	4.2729614	3.6627608	3.4170899	3.3424033
159.76552	4.2729614	3.6618976	3.4162281	3.3415496
162.37241	4.2729614	3.6609991	3.4153307	3.3406588
164.97931	4.2729614	3.6600653	3.4143976	3.3397309
167.58621	4.2729614	3.6590961	3.4134289	3.3387659
170.1931	4.2729614	3.6580917	3.4124246	3.3377638
172.8	4.2729614	3.6570517	3.4113848	3.3367247
