t(s)	total_voltage(V)
0	4.1809414
0.05	3.9942555
0.1	3.9933331
0.2	3.9915311
0.4	3.9881207
0.8	3.982067
1.6	3.9723957
3.2	3.9588416
6.4	3.9417621
12.8	3.9214201
19.2	3.9088027
25.6	3.9001973
38.4	3.8885718
51.2	3.880515
64	3.8741249
76.8	3.8683713
102.4	3.8562497
128	3.8428938
153.6	3.8288731
204.8	3.8001748
256	3.7739934
346	3.7355795
436	3.7016234
526	3.6656576
616	3.6257164
706	3.5824769
796	3.5393573
886	3.5006411
976	3.4695558
1000	3.4623885
1090	3.4372299
1180	3.4123943
1270	3.386278
1360	3.3585609
1450	3.3292767
1540	3.2983571
1630	3.2655914
1720	3.2304793
1810	3.1928138
1900	3.1512399
1990	3.0996291
2000	3.0928841
2090	3.0085971
2180	2.8786397
2270	2.7130466
2360	2.2846776
