r(x_rel=0.5)	t=0	t=1000	t=2000	t=2360
0	29866	19743.873	7605.9565	3182.3022
0.20206897	29866	19735.928	7595.1204	3172.6164
0.40413793	29866	19727.979	7584.2832	3162.929
0.6062069	29866	19716.843	7569.1085	3149.3633
0.80827586	29866	19702.057	7548.9745	3131.3619
1.0103448	29866	19683.458	7523.671	3108.7354
1.2124138	29866	19660.961	7493.0998	3081.3935
1.4144828	29866	19634.509	7457.2052	3049.2835
1.6165517	29866	19604.055	7415.9509	3012.3693
1.8186207	29866	19569.556	7369.311	2970.6238
2.0206897	29866	19530.968	7317.265	2924.0243
2.2227586	29866	19488.243	7259.796	2872.5509
2.4248276	29866	19441.332	7196.8891	2816.1858
2.6268966	29866	19390.179	7128.5304	2754.9127
2.8289655	29866	19334.725	7054.707	2688.7167
3.0310345	29866	19274.908	6975.4064	2617.585
3.2331034	29866	19210.662	6890.6161	2541.5068
3.4351724	29866	19141.918	6800.3239	2460.4742
3.6372414	29866	19068.606	6704.518	2374.4825
3.8393103	29866	18990.659	6603.1873	2283.5313
4.0413793	29866	18908.012	6496.3226	2187.6246
4.2434483	29866	18820.606	6383.918	2086.7718
4.4455172	29866	18728.39	6265.973	1980.9878
4.6475862	29866	18631.325	6142.4957	1870.2929
4.8496552	29866	18529.385	6013.5076	1754.7124
5.0517241	29866	18422.558	5879.0488	1634.2751
5.2537931	29866	18310.846	5739.1863	1509.0112
5.4558621	29866	18194.258	5594.0224	1378.9481
5.657931	29866	18072.809	5443.7071	1244.1053
5.86	29866	17946.53	5288.4845	1104.519
