x	t=0	t=1000	t=2000	t=2360
0	0	0	0	0
2.937931	0	-0.000113141	-0.00015978615	-0.00014445674
5.8758621	0	-0.00045319554	-0.00064048717	-0.00057882628
8.8137931	0	-0.0010221091	-0.0014461927	-0.001306152
11.751724	0	-0.0018232983	-0.0025839311	-0.0023316657
14.689655	0	-0.0028619245	-0.0040640073	-0.0036630472
17.627586	0	-0.0041452954	-0.005900509	-0.0053108237
20.565517	0	-0.0056834163	-0.0081120266	-0.0072889508
23.503448	0	-0.0074897291	-0.010722653	-0.0096156369
26.441379	0	-0.0095821037	-0.013763385	-0.01231454
29.37931	0	-0.011869085	-0.017274153	-0.015416476
32.317241	0	-0.014257128	-0.021306943	-0.018908705
35.255172	0	-0.016719477	-0.025508371	-0.022403453
38.193103	0	-0.019240783	-0.029604174	-0.025857756
41.131034	0	-0.021814753	-0.033590895	-0.029268267
44.068966	0	-0.024441389	-0.037494184	-0.032648385
47.006897	0	-0.02712481	-0.04134385	-0.036016475
49.944828	0	-0.029871809	-0.045166631	-0.039391277
52.882759	0	-0.032691001	-0.048985206	-0.04279051
55.82069	0	-0.035592392	-0.052818898	-0.04623075
58.758621	0	-0.03858721	-0.056684678	-0.049727709
61.696552	0	-0.041687912	-0.060598084	-0.053296657
64.634483	0	-0.044908319	-0.064574005	-0.056952867
67.572414	0	-0.04826385	-0.068627336	-0.060712051
70.510345	0	-0.051771834	-0.07277354	-0.064590829
73.448276	0	-0.055451909	-0.077029154	-0.068607196
76.386207	0	-0.059326473	-0.081412267	-0.072781071
79.324138	0	-0.063421179	-0.085943024	-0.077134954
82.262069	0	-0.067765409	-0.090644207	-0.081694699
85.2	0	-0.072392616	-0.095541944	-0.086490521
85.613793	0	-0.072781808	-0.095947979	-0.08689137
86.027586	0	-0.073042873	-0.096219435	-0.08716023
86.441379	0	-0.073304212	-0.096491366	-0.087429473
86.855172	0	-0.073565829	-0.096763777	-0.087699106
87.268966	0	-0.073827728	-0.097036673	-0.087969132
87.682759	0	-0.074089914	-0.097310058	-0.088239558
88.096552	0	-0.074352392	-0.097583938	-0.088510387
88.510345	0	-0.074615166	-0.097858319	-0.088781625
88.924138	0	-0.074878241	-0.098133204	-0.089053277
89.337931	0	-0.075141621	-0.098408599	-0.089325347
89.751724	0	-0.07540531	-0.09868451	-0.089597841
90.165517	0	-0.075669314	-0.098960941	-0.089870765
90.57931	0	-0.075933637	-0.099237898	-0.090144122
90.993103	0	-0.076198284	-0.099515386	-0.090417919
91.406897	0	-0.076463258	-0.099793411	-0.090692159
91.82069	0	-0.076728566	-0.10007198	-0.090966849
92.234483	0	-0.076994211	-0.10035109	-0.091241994
92.648276	0	-0.077260198	-0.10063076	-0.091517598
93.062069	0	-0.077526531	-0.10091098	-0.091793668
93.475862	0	-0.077793216	-0.10119177	-0.092070207
93.889655	0	-0.078060257	-0.10147313	-0.092347223
94.303448	0	-0.078327659	-0.10175506	-0.092624719
94.717241	0	-0.078595427	-0.10203757	-0.092902701
95.131034	0	-0.078863564	-0.10232067	-0.093181175
95.544828	0	-0.079132077	-0.10260437	-0.093460146
95.958621	0	-0.079400969	-0.10288865	-0.09373962
96.372414	0	-0.079670246	-0.10317355	-0.094019601
96.786207	0	-0.079939912	-0.10345905	-0.094300096
97.2	0	-0.080280503	-0.1038207	-0.094654656
99.806897	0	-0.083075936	-0.10680906	-0.097580192
102.41379	0	-0.085810576	-0.10975662	-0.10046874
105.02069	0	-0.08848503	-0.11266238	-0.10331903
107.62759	0	-0.091099273	-0.11552477	-0.10612925
110.23448	0	-0.093652702	-0.11834169	-0.10889711
112.84138	0	-0.096144179	-0.12111051	-0.1116198
115.44828	0	-0.098572072	-0.12382804	-0.114294
118.05517	0	-0.10093428	-0.12649062	-0.11691592
120.66207	0	-0.10322827	-0.12909405	-0.11948122
123.26897	0	-0.10545111	-0.13163361	-0.12198512
125.87586	0	-0.10759947	-0.13410413	-0.12442231
128.48276	0	-0.10966968	-0.13649993	-0.12678704
131.08966	0	-0.11165776	-0.13881491	-0.12907312
133.69655	0	-0.11355945	-0.14104254	-0.13127393
136.30345	0	-0.11537025	-0.14317594	-0.1333825
138.91034	0	-0.11708546	-0.1452079	-0.13539154
141.51724	0	-0.11870027	-0.14713098	-0.13729352
144.12414	0	-0.12020976	-0.14893757	-0.13908076
146.73103	0	-0.12160901	-0.15062	-0.14074551
149.33793	0	-0.12289315	-0.15217064	-0.14228008
151.94483	0	-0.12405743	-0.15358202	-0.14367694
154.55172	0	-0.12509729	-0.15484694	-0.14492887
157.15862	0	-0.12600845	-0.15595863	-0.14602907
159.76552	0	-0.12678698	-0.15691087	-0.14697134
162.37241	0	-0.12742934	-0.15769811	-0.14775016
164.97931	0	-0.12793249	-0.1583156	-0.14836088
167.58621	0	-0.1282939	-0.15875952	-0.14879976
170.1931	0	-0.12851165	-0.15902705	-0.14906412
172.8	0	-0.12858439	-0.15911642	-0.14915241
