t(s)	Capacity_total(Ah)	Capacity_discharge(Ah)
0	0	0
0.05	0.00010416667	0
0.1	0.00020833333	0
0.2	0.00041666667	0
0.4	0.00083333333	0
0.8	0.0016666667	0
1.6	0.0033333333	0
3.2	0.0066666667	0
6.4	0.013333333	0
12.8	0.026666667	0
19.2	0.04	0
25.6	0.053333333	0
38.4	0.08	0
51.2	0.10666667	0
64	0.13333333	0
76.8	0.16	0
102.4	0.21333333	0
128	0.26666667	0
153.6	0.32	0
204.8	0.42666667	0
256	0.53333333	0
346	0.72083333	0
436	0.90833333	0
526	1.0958333	0
616	1.2833333	0
706	1.4708333	0
796	1.6583333	0
886	1.8458333	0
976	2.0333333	0
1000	2.0833333	0
1090	2.2708333	0
1180	2.4583333	0
1270	2.6458333	0
1360	2.8333333	0
1450	3.0208333	0
1540	3.2083333	0
1630	3.3958333	0
1720	3.5833333	0
1810	3.7708333	0
1900	3.9583333	0
1990	4.1458333	0
2000	4.1666667	0
2090	4.3541667	0
2180	4.5416667	0
2270	4.7291667	0
2360	4.9166667	0
