x	t=0	t=1000	t=2000	t=2360
0	1000	2349.3263	2794.7934	2649.4841
2.937931	1000	2344.8662	2788.0569	2643.3774
5.8758621	1000	2331.4946	2767.8451	2625.0667
8.8137931	1000	2309.2364	2734.1502	2594.5811
11.751724	1000	2278.1296	2686.9604	2551.9688
14.689655	1000	2238.2195	2626.2613	2497.2978
17.627586	1000	2189.5521	2552.0385	2430.6554
20.565517	1000	2132.1648	2464.283	2352.1491
23.503448	1000	2066.0775	2362.9996	2261.9063
26.441379	1000	1991.2826	2248.2196	2160.0738
29.37931	1000	1912.1013	2120.0186	2046.8171
32.317241	1000	1832.872	1978.5358	1924.2258
35.255172	1000	1754.9848	1839.5073	1808.8995
38.193103	1000	1679.1966	1714.0435	1702.4871
41.131034	1000	1605.8124	1601.3208	1604.5916
44.068966	1000	1534.8623	1499.323	1514.1424
47.006897	1000	1466.2291	1406.1247	1430.0102
49.944828	1000	1399.728	1320.1719	1351.205
52.882759	1000	1335.1516	1240.2644	1276.9108
55.82069	1000	1272.2933	1165.4784	1206.4681
58.758621	1000	1210.9587	1095.0954	1139.3453
61.696552	1000	1150.9704	1028.5468	1075.1123
64.634483	1000	1092.1688	965.37449	1013.4178
67.572414	1000	1034.4121	905.20211	953.97262
70.510345	1000	977.57533	847.71548	896.53634
73.448276	1000	921.54895	792.64864	840.90687
76.386207	1000	866.23913	739.77411	786.9131
79.324138	1000	811.56867	688.896	734.40894
82.262069	1000	757.48012	639.84496	683.26851
85.2	1000	703.94163	592.47426	633.38275
85.613793	1000	699.61836	588.71937	629.38623
86.027586	1000	696.73142	586.22769	626.71948
86.441379	1000	693.85367	583.74213	624.0604
86.855172	1000	690.98503	581.26266	621.40895
87.268966	1000	688.12543	578.78923	618.76506
87.682759	1000	685.27482	576.32182	616.12868
88.096552	1000	682.43311	573.86038	613.49977
88.510345	1000	679.60025	571.40488	610.87827
88.924138	1000	676.77617	568.95529	608.26413
89.337931	1000	673.9608	566.51157	605.65729
89.751724	1000	671.15409	564.07368	603.05771
90.165517	1000	668.35596	561.6416	600.46534
90.57931	1000	665.56635	559.21528	597.88012
90.993103	1000	662.78521	556.79469	595.30202
91.406897	1000	660.01247	554.37981	592.73098
91.82069	1000	657.24807	551.97059	590.16695
92.234483	1000	654.49196	549.56701	587.60989
92.648276	1000	651.74407	547.16903	585.05975
93.062069	1000	649.00434	544.77663	582.51649
93.475862	1000	646.27272	542.38976	579.98005
93.889655	1000	643.54915	540.00839	577.4504
94.303448	1000	640.83357	537.63251	574.92749
94.717241	1000	638.12593	535.26206	572.41127
95.131034	1000	635.42617	532.89704	569.90171
95.544828	1000	632.73424	530.53739	567.39875
95.958621	1000	630.05008	528.1831	564.90236
96.372414	1000	627.37365	525.83413	562.41249
96.786207	1000	624.70488	523.49046	559.9291
97.2	1000	621.35219	520.53357	556.80638
99.806897	1000	594.51853	496.69964	531.69646
102.41379	1000	569.39425	474.25123	508.01158
105.02069	1000	545.85071	453.1037	485.66869
107.62759	1000	523.77615	433.18206	464.59398
110.23448	1000	503.07293	414.41958	444.72159
112.84138	1000	483.65536	396.75668	425.99258
115.44828	1000	465.4479	380.13999	408.35405
118.05517	1000	448.38378	364.52152	391.75836
120.66207	1000	432.40372	349.85806	376.16258
123.26897	1000	417.45507	336.11061	361.5279
125.87586	1000	403.49088	323.2439	347.81924
128.48276	1000	390.46929	311.22601	335.00482
131.08966	1000	378.35292	300.02805	323.05588
133.69655	1000	367.1084	289.62382	311.94634
136.30345	1000	356.70593	279.98962	301.65263
138.91034	1000	347.11894	271.10402	292.15341
141.51724	1000	338.32378	262.94767	283.42942
144.12414	1000	330.29946	255.50316	275.46334
146.73103	1000	323.02743	248.75486	268.23961
149.33793	1000	316.4914	242.68886	261.74434
151.94483	1000	310.67716	237.29283	255.9652
154.55172	1000	305.57246	232.55595	250.89131
157.15862	1000	301.16688	228.46885	246.51321
159.76552	1000	297.45175	225.02355	242.82275
162.37241	1000	294.4201	222.2134	239.81302
164.97931	1000	292.06655	220.03306	237.47835
167.58621	1000	290.38731	218.47845	235.81424
170.1931	1000	289.38016	217.54675	234.81731
172.8	1000	289.04443	217.23634	234.48528
