r(x_rel=0.5)	t=0	t=1000	t=2000	t=2360
0	29866	19744.924	7610.0808	3186.3366
0.20206897	29866	19736.976	7599.2502	3176.6536
0.40413793	29866	19729.023	7588.4183	3166.969
0.6062069	29866	19717.883	7573.251	3153.4071
0.80827586	29866	19703.091	7553.1266	3135.4109
1.0103448	29866	19684.485	7527.8348	3112.7909
1.2124138	29866	19661.98	7497.2771	3085.4567
1.4144828	29866	19635.519	7461.3976	3053.3555
1.6165517	29866	19605.055	7420.1597	3016.4515
1.8186207	29866	19570.545	7373.537	2974.7173
2.0206897	29866	19531.945	7321.5088	2928.1302
2.2227586	29866	19489.208	7264.0575	2876.6702
2.4248276	29866	19442.284	7201.1677	2820.3193
2.6268966	29866	19391.118	7132.8252	2759.0611
2.8289655	29866	19335.652	7059.0164	2692.8807
3.0310345	29866	19275.823	6979.7282	2621.765
3.2331034	29866	19211.565	6894.9476	2545.7031
3.4351724	29866	19142.809	6804.6618	2464.6868
3.6372414	29866	19069.487	6708.8582	2378.7113
3.8393103	29866	18991.53	6607.5252	2287.776
4.0413793	29866	18908.874	6500.6527	2191.8848
4.2434483	29866	18821.459	6388.2341	2091.047
4.4455172	29866	18729.235	6270.2677	1985.2774
4.6475862	29866	18632.162	6146.7608	1874.5965
4.8496552	29866	18530.215	6017.7332	1759.0298
5.0517241	29866	18423.38	5883.2236	1638.6065
5.2537931	29866	18311.659	5743.2968	1513.3574
5.4558621	29866	18195.063	5598.053	1383.3111
5.657931	29866	18073.604	5447.6394	1248.4883
5.86	29866	17947.313	5292.2973	1108.9272
