r(x_rel=0)	t=0	t=1000	t=2000	t=2360
0	17038	23194.19	38496.599	44223.968
0.18	17038	23267.829	38583.146	44309.019
0.36	17038	23341.54	38669.688	44394.055
0.54	17038	23444.889	38790.835	44513.075
0.72	17038	23582.254	38951.518	44670.901
0.9	17038	23755.27	39153.367	44869.107
1.08	17038	23964.867	39397.106	45108.365
1.26	17038	24211.742	39683.103	45388.994
1.44	17038	24496.514	40011.56	45711.14
1.62	17038	24819.794	40382.579	46074.845
1.8	17038	25182.206	40796.202	46480.085
1.98	17038	25584.414	41252.425	46926.781
2.16	17038	26027.119	41751.207	47414.808
2.34	17038	26511.066	42292.468	47943.993
2.52	17038	27037.044	42876.096	48514.115
2.7	17038	27605.877	43501.937	49124.892
2.88	17038	28218.42	44169.801	49775.978
3.06	17038	28875.55	44879.453	50466.943
3.24	17038	29578.161	45630.624	51197.263
3.42	17038	30327.149	46423.01	51966.299
3.6	17038	31123.416	47256.289	52773.283
3.78	17038	31967.867	48130.137	53617.295
3.96	17038	32861.416	49044.261	54497.253
4.14	17038	33805.001	49998.429	55411.893
4.32	17038	34799.587	50992.506	56359.775
4.5	17038	35846.176	52026.491	57339.273
4.68	17038	36945.771	53100.551	58348.596
4.86	17038	38099.307	54215.032	59385.788
5.04	17038	39307.533	55370.474	60448.731
5.22	17038	40570.564	56567.31	61534.869
