r(x_rel=0.5)	t=0	t=1000	t=2000	t=2360
0	17038	22385.248	36539.456	41898.873
0.18	17038	22453.273	36619.442	41979.618
0.36	17038	22521.401	36699.437	42060.367
0.54	17038	22617	36811.445	42173.424
0.72	17038	22744.198	36960.058	42323.415
0.9	17038	22904.613	37146.823	42511.892
1.08	17038	23099.227	37372.464	42739.571
1.26	17038	23328.821	37637.391	43006.85
1.44	17038	23594.106	37941.869	43313.981
1.62	17038	23895.776	38286.089	43661.138
1.8	17038	24234.523	38670.2	44048.455
1.98	17038	24611.048	39094.326	44476.04
2.16	17038	25026.051	39558.577	44943.985
2.34	17038	25480.229	40063.049	45452.377
2.52	17038	25974.27	40607.834	46001.296
2.7	17038	26508.843	41193.019	46590.821
2.88	17038	27084.586	41818.687	47221.033
3.06	17038	27702.106	42484.92	47892.015
3.24	17038	28361.96	43191.799	48603.856
3.42	17038	29064.654	43939.402	49356.649
3.6	17038	29810.631	44727.808	50150.5
3.78	17038	30600.263	45557.089	50985.52
3.96	17038	31433.841	46427.314	51861.839
4.14	17038	32311.566	47338.546	52779.6
4.32	17038	33233.537	48290.839	53738.967
4.5	17038	34199.739	49284.239	54740.131
4.68	17038	35210.04	50318.785	55783.312
4.86	17038	36264.197	51394.512	56868.773
5.04	17038	37361.894	52511.455	57996.832
5.22	17038	38502.518	53669.378	59167.598
