x	t=0	t=1000	t=2000	t=2360
0	0	0	0	0
2.937931	0	-0.00011321253	-0.00015971256	-0.00014463248
5.8758621	0	-0.00045348259	-0.00064019158	-0.00057952961
8.8137931	0	-0.0010227583	-0.0014455231	-0.0013077364
11.751724	0	-0.0018244607	-0.0025827303	-0.0023344881
14.689655	0	-0.0028637573	-0.0040621121	-0.0036674708
17.627586	0	-0.0041479635	-0.0058977514	-0.0053172247
20.565517	0	-0.0056870949	-0.0081082376	-0.0072977157
23.503448	0	-0.0074946059	-0.01071767	-0.0096271703
26.441379	0	-0.0095883826	-0.013757063	-0.012329267
29.37931	0	-0.011878247	-0.017266382	-0.015434862
32.317241	0	-0.014269185	-0.021297666	-0.018934542
35.255172	0	-0.016734329	-0.025500431	-0.022436375
38.193103	0	-0.019258279	-0.029597799	-0.025897029
41.131034	0	-0.021834734	-0.033586143	-0.02931316
44.068966	0	-0.024463711	-0.037491102	-0.032698318
47.006897	0	-0.027149349	-0.041342517	-0.036071025
49.944828	0	-0.029898466	-0.045167156	-0.039450141
52.882759	0	-0.0327197	-0.04898772	-0.042853487
55.82069	0	-0.035623075	-0.052823548	-0.046297708
58.758621	0	-0.038619835	-0.056691623	-0.049798583
61.696552	0	-0.04172245	-0.060607494	-0.05337144
64.634483	0	-0.044944755	-0.064586058	-0.057031598
67.572414	0	-0.048302179	-0.068642224	-0.060794821
70.510345	0	-0.051812065	-0.072791472	-0.064677764
73.448276	0	-0.055494061	-0.077050364	-0.06869848
76.386207	0	-0.059370584	-0.081437021	-0.072876946
79.324138	0	-0.063467314	-0.08597163	-0.077235713
82.262069	0	-0.067813676	-0.090677028	-0.081800719
85.2	0	-0.072443195	-0.095579414	-0.086602281
85.613793	0	-0.072832481	-0.095985638	-0.087003378
86.027586	0	-0.073093572	-0.096257147	-0.087272316
86.441379	0	-0.073354938	-0.096529132	-0.08754164
86.855172	0	-0.073616582	-0.096801597	-0.087811354
87.268966	0	-0.073878509	-0.097074547	-0.088081463
87.682759	0	-0.074140724	-0.097347988	-0.088351973
88.096552	0	-0.074403231	-0.097621924	-0.088622887
88.510345	0	-0.074666034	-0.09789636	-0.088894211
88.924138	0	-0.074929139	-0.098171302	-0.08916595
89.337931	0	-0.075192549	-0.098446755	-0.089438109
89.751724	0	-0.075456269	-0.098722724	-0.089710693
90.165517	0	-0.075720304	-0.098999214	-0.089983707
90.57931	0	-0.075984659	-0.09927623	-0.090257157
90.993103	0	-0.076249337	-0.099553779	-0.090531047
91.406897	0	-0.076514344	-0.099831864	-0.090805382
91.82069	0	-0.076779685	-0.10011049	-0.091080167
92.234483	0	-0.077045363	-0.10038967	-0.091355409
92.648276	0	-0.077311384	-0.1006694	-0.091631111
93.062069	0	-0.077577752	-0.10094968	-0.09190728
93.475862	0	-0.077844472	-0.10123054	-0.09218392
93.889655	0	-0.078111548	-0.10151196	-0.092461037
94.303448	0	-0.078378986	-0.10179395	-0.092738636
94.717241	0	-0.07864679	-0.10207653	-0.093016723
95.131034	0	-0.078914964	-0.1023597	-0.093295303
95.544828	0	-0.079183514	-0.10264346	-0.09357438
95.958621	0	-0.079452444	-0.10292781	-0.093853962
96.372414	0	-0.07972176	-0.10321277	-0.094134053
96.786207	0	-0.079991465	-0.10349834	-0.094414659
97.2	0	-0.080332105	-0.10386008	-0.09476936
99.806897	0	-0.083127973	-0.10684918	-0.097696145
102.41379	0	-0.085863076	-0.10979753	-0.10058604
105.02069	0	-0.08853802	-0.11270412	-0.10343776
107.62759	0	-0.091152777	-0.11556739	-0.10624951
110.23448	0	-0.09370674	-0.11838522	-0.10901898
112.84138	0	-0.096198771	-0.12115498	-0.11174335
115.44828	0	-0.098627233	-0.1238735	-0.11441932
118.05517	0	-0.10099003	-0.12653709	-0.11704305
120.66207	0	-0.10328461	-0.12914155	-0.11961024
123.26897	0	-0.10550805	-0.13168218	-0.12211606
125.87586	0	-0.10765702	-0.13415377	-0.12455522
128.48276	0	-0.10972784	-0.13655067	-0.12692196
131.08966	0	-0.11171653	-0.13886675	-0.12921006
133.69655	0	-0.11361882	-0.14109548	-0.1314129
136.30345	0	-0.11543021	-0.14322998	-0.13352348
138.91034	0	-0.117146	-0.14526302	-0.13553452
141.51724	0	-0.11876137	-0.14718715	-0.13743845
144.12414	0	-0.12027139	-0.14899476	-0.13922759
146.73103	0	-0.12167116	-0.15067818	-0.14089416
149.33793	0	-0.12295578	-0.15222975	-0.14243046
151.94483	0	-0.1241205	-0.15364199	-0.14382893
154.55172	0	-0.12516077	-0.15490771	-0.14508234
157.15862	0	-0.12607229	-0.15602011	-0.14618387
159.76552	0	-0.12685113	-0.15697297	-0.14712729
162.37241	0	-0.12749376	-0.15776073	-0.14790708
164.97931	0	-0.12799711	-0.15837864	-0.14851856
167.58621	0	-0.12835867	-0.15882286	-0.148958
170.1931	0	-0.1285765	-0.15909057	-0.14922271
172.8	0	-0.12864928	-0.15918	-0.14931111
