x	t=0	t=1000	t=2000	t=2360
0	0.092020002	0.19474897	0.31865371	1.0503046
2.937931	0.092020002	0.19474799	0.31865273	1.0503036
5.8758621	0.092020002	0.19474703	0.3186518	1.0503027
8.8137931	0.092020002	0.1947461	0.31865092	1.0503018
11.751724	0.092020002	0.1947452	0.31865009	1.0503009
14.689655	0.092020002	0.19474433	0.3186493	1.0503001
17.627586	0.092020002	0.19474349	0.31864856	1.0502993
20.565517	0.092020002	0.19474267	0.31864786	1.0502986
23.503448	0.092020002	0.19474189	0.31864722	1.0502978
26.441379	0.092020002	0.19474113	0.31864661	1.0502972
29.37931	0.092020002	0.19474039	0.31864605	1.0502965
32.317241	0.092020002	0.19473969	0.31864554	1.0502959
35.255172	0.092020002	0.19473902	0.31864507	1.0502954
38.193103	0.092020002	0.19473837	0.31864464	1.0502949
41.131034	0.092020002	0.19473776	0.31864425	1.0502944
44.068966	0.092020002	0.19473718	0.3186439	1.0502939
47.006897	0.092020002	0.19473663	0.31864358	1.0502935
49.944828	0.092020002	0.19473611	0.3186433	1.0502931
52.882759	0.092020002	0.19473563	0.31864305	1.0502927
55.82069	0.092020002	0.19473518	0.31864284	1.0502924
58.758621	0.092020002	0.19473477	0.31864265	1.0502921
61.696552	0.092020002	0.19473439	0.31864248	1.0502919
64.634483	0.092020002	0.19473406	0.31864234	1.0502916
67.572414	0.092020002	0.19473376	0.31864223	1.0502914
70.510345	0.092020002	0.19473351	0.31864213	1.0502913
73.448276	0.092020002	0.1947333	0.31864206	1.0502911
76.386207	0.092020002	0.19473314	0.318642	1.050291
79.324138	0.092020002	0.19473302	0.31864196	1.050291
82.262069	0.092020002	0.19473295	0.31864194	1.0502909
85.2	0.092020002	0.19473292	0.31864193	1.0502909
