x	t=0	t=1000	t=2000	t=2360
97.2	4.2729614	3.6726402	3.4268444	3.3517685
99.806897	4.2729614	3.6726204	3.4268256	3.3517514
102.41379	4.2729614	3.672561	3.4267692	3.3517
105.02069	4.2729614	3.6724626	3.4266752	3.3516138
107.62759	4.2729614	3.6723255	3.4265437	3.3514926
110.23448	4.2729614	3.67215	3.4263748	3.351336
112.84138	4.2729614	3.6719365	3.4261686	3.3511439
115.44828	4.2729614	3.6716852	3.4259252	3.3509158
118.05517	4.2729614	3.6713966	3.4256446	3.3506518
120.66207	4.2729614	3.6710708	3.425327	3.3503515
123.26897	4.2729614	3.6707081	3.4249724	3.3500149
125.87586	4.2729614	3.6703088	3.4245809	3.3496418
128.48276	4.2729614	3.669873	3.4241527	3.3492321
131.08966	4.2729614	3.6694009	3.4236879	3.3487857
133.69655	4.2729614	3.6688928	3.4231865	3.3483024
136.30345	4.2729614	3.6683487	3.4226486	3.3477823
138.91034	4.2729614	3.6677689	3.4220744	3.3472253
141.51724	4.2729614	3.6671533	3.421464	3.3466313
144.12414	4.2729614	3.6665022	3.4208175	3.3460003
146.73103	4.2729614	3.6658156	3.4201348	3.3453322
149.33793	4.2729614	3.6650936	3.4194162	3.344627
151.94483	4.2729614	3.6643362	3.4186617	3.3438847
154.55172	4.2729614	3.6635435	3.4178714	3.3431053
157.15862	4.2729614	3.6627156	3.4170453	3.3422887
159.76552	4.2729614	3.6618523	3.4161835	3.3414351
162.37241	4.2729614	3.6609538	3.415286	3.3405443
164.97931	4.2729614	3.66002	3.414353	3.3396164
167.58621	4.2729614	3.6590509	3.4133843	3.3386514
170.1931	4.2729614	3.6580464	3.41238	3.3376493
172.8	4.2729614	3.6570065	3.4113401	3.3366102
