t(s)	total_voltage(V)
0	4.1809414
0.05	3.9942611
0.1	3.9933387
0.2	3.9915367
0.4	3.9881263
0.8	3.9820725
1.6	3.972401
3.2	3.9588467
6.4	3.9417666
12.8	3.9214237
19.2	3.9088054
25.6	3.900199
38.4	3.8885715
51.2	3.8805127
64	3.8741206
76.8	3.8683649
102.4	3.856239
128	3.8428789
153.6	3.828854
204.8	3.8001475
256	3.7739581
346	3.7355317
436	3.7015702
526	3.6656
616	3.6256506
706	3.5823988
796	3.5392641
886	3.500531
976	3.4694279
1000	3.4622575
1090	3.4370932
1180	3.4122564
1270	3.3861384
1360	3.358417
1450	3.3291261
1540	3.2981987
1630	3.2654267
1720	3.2303115
1810	3.1926326
1900	3.1510381
1990	3.0994285
2000	3.0926864
2090	3.0085435
2180	2.8786392
2270	2.7133046
2360	2.2863056
