t(s)	Capacity_total(Ah)	Capacity_discharge(Ah)
0	0	0
0.05	6.9444444e-05	0
0.1	0.00013888889	0
0.2	0.00027777778	0
0.4	0.00055555556	0
0.8	0.0011111111	0
1.6	0.0022222222	0
3.2	0.0044444444	0
6.4	0.0088888889	0
12.8	0.017777778	0
25.6	0.035555556	0
38.4	0.053333333	0
51.2	0.071111111	0
64	0.088888889	0
89.6	0.12444444	0
100	0.13888889	0
125.6	0.17444444	0
151.2	0.21	0
176.8	0.24555556	0
200	0.27777778	0
225.6	0.31333333	0
276.8	0.38444444	0
328	0.45555556	0
400	0.55555556	0
451.2	0.62666667	0
541.2	0.75166667	0
631.2	0.87666667	0
721.2	1.0016667	0
800	1.1111111	0
890	1.2361111	0
980	1.3611111	0
1000	1.3888889	0
1090	1.5138889	0
1180	1.6388889	0
1200	1.6666667	0
1290	1.7916667	0
1380	1.9166667	0
1400	1.9444444	0
1490	2.0694444	0
1580	2.1944444	0
1600	2.2222222	0
1690	2.3472222	0
1780	2.4722222	0
1870	2.5972222	0
1960	2.7222222	0
2000	2.7777778	0
2090	2.9027778	0
2100	2.9166667	0
2190	3.0416667	0
2200	3.0555556	0
2290	3.1805556	0
2300	3.1944444	0
2390	3.3194444	0
2400	3.3333333	0
2490	3.4583333	0
2500	3.4722222	0
2590	3.5972222	0
2680	3.7222222	0
2770	3.8472222	0
2860	3.9722222	0
2950	4.0972222	0
3040	4.2222222	0
3130	4.3472222	0
3220	4.4722222	0
3310	4.5972222	0
3400	4.7222222	0
3490	4.8472222	0
3580	4.9722222	0
3600	5	4.9722222
3630	5.0416667	4.9722222
3660	5.0833333	4.9722222
3690	5.125	4.9722222
3720	5.1666667	4.9722222
3780	5.25	4.9722222
3870	5.375	4.9722222
3960	5.5	4.9722222
4000	5.5555556	4.9722222
4090	5.6805556	4.9722222
4100	5.6944444	4.9722222
4190	5.8194444	4.9722222
4200	5.8333333	4.9722222
4290	5.9583333	4.9722222
4380	6.0833333	4.9722222
4400	6.1111111	4.9722222
4490	6.2361111	4.9722222
4580	6.3611111	4.9722222
4670	6.4861111	4.9722222
4760	6.6111111	4.9722222
4800	6.6666667	4.9722222
4890	6.7916667	4.9722222
4900	6.8055556	4.9722222
4990	6.9305556	4.9722222
5000	6.9444444	4.9722222
5090	7.0694444	4.9722222
5100	7.0833333	4.9722222
5190	7.2083333	4.9722222
5200	7.2222222	4.9722222
5290	7.3472222	4.9722222
5300	7.3611111	4.9722222
5390	7.4861111	4.9722222
5400	7.5	4.9722222
5490	7.625	4.9722222
5500	7.6388889	4.9722222
5590	7.7638889	4.9722222
5600	7.7777778	4.9722222
5690	7.9027778	4.9722222
5700	7.9166667	4.9722222
5790	8.0416667	4.9722222
5800	8.0555556	4.9722222
5890	8.1805556	4.9722222
5900	8.1944444	4.9722222
5990	8.3194444	4.9722222
6000	8.3333333	4.9722222
6090	8.4583333	4.9722222
