r(x_rel=1)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	17038	17038.005	17039.919	17196.057	19047.368	20586.632	22330.96	24187.274	26108.393	30045.142	31036.687	32028.742	33020.819	34012.783	35004.656	45941.59	46540.251	49532.095	49986.705	50151.974	49738.762	47166.901	46336.345	45463.602	44558.987	43629.987	42682.534	41721.407	40750.396	39772.37	38789.34	37802.574	36812.768	35820.268	34924.898
0.18	17038	17038.007	17040.334	17206.243	19085.465	20631.797	22379.989	24238.494	26160.917	30098.669	31090.255	32082.317	33074.388	34066.345	35058.215	45995.458	46594.143	49564.242	50002.843	50152.413	49716.115	47123.165	46290.09	45415.425	44509.333	43579.208	42630.912	41669.171	40697.723	39719.388	38736.134	37749.193	36759.236	35766.597	34871.112
0.36	17038	17038.009	17040.783	17216.645	19123.686	20677.029	22429.056	24289.737	26213.454	30152.199	31143.824	32135.892	33127.957	34119.908	35111.775	46049.327	46648.036	49595.967	50018.527	50152.459	49693.234	47079.352	46243.777	45367.203	44459.645	43528.403	42579.272	41616.922	40645.04	39666.399	38682.923	37695.807	36705.7	35712.923	34817.323
0.54	17038	17038.014	17041.491	17231.669	19177.456	20740.498	22497.829	24361.524	26287.033	30227.143	31218.821	32210.896	33202.953	34194.895	35186.758	46124.746	46723.487	49639.482	50039.518	50151.692	49660.707	47017.852	46178.816	45299.597	44390.009	43457.221	42506.935	41543.743	40571.264	39592.201	38608.417	37621.059	36630.742	35637.771	34742.012
0.72	17038	17038.022	17042.581	17252.423	19249.244	20824.944	22589.197	24456.834	26384.687	30326.565	31318.309	32310.392	33302.437	34294.367	35286.226	46224.798	46823.575	49695.592	50065.655	50149.212	49616.69	46935.987	46092.425	45209.749	44297.507	43362.699	42410.906	41446.619	40473.362	39493.748	38509.563	37521.887	36531.293	35538.067	34642.096
0.9	17038	17038.037	17044.216	17279.822	19340.162	20931.438	22704.213	24576.712	26507.456	30451.489	31443.308	32435.398	33427.428	34419.344	35411.198	46350.514	46949.327	49763.492	50095.78	50143.788	49560.02	46832.684	45983.541	45096.6	44181.085	43243.789	42290.143	41324.512	40350.3	39370.011	38385.331	37397.261	36406.322	35412.776	34516.543
1.08	17038	17038.063	17046.631	17314.879	19451.02	21060.634	22843.447	24721.688	26655.848	30602.383	31594.284	32586.379	33578.39	34570.289	35562.139	46502.365	47101.205	49841.628	50128.188	50133.884	49489.594	46707.267	45851.535	44959.558	44040.179	43099.95	42144.125	41176.915	40201.585	39220.505	38235.241	37246.702	36255.348	35261.418	34364.871
1.26	17038	17038.111	17050.161	17358.782	19582.56	21213.052	23007.299	24892.103	26830.166	30779.503	31771.487	32763.582	33755.57	34747.451	35739.298	46680.611	47279.45	49927.892	50160.742	50117.679	49404.235	46559.18	45695.923	44798.191	43874.4	42930.827	41972.524	41003.525	40026.93	39044.952	38059.02	37069.94	36078.104	35083.727	34186.816
1.44	17038	17038.198	17055.278	17412.909	19735.529	21389.167	23196.102	25088.218	27030.625	30983.005	31975.068	32967.157	33959.118	34950.98	35942.825	46885.412	47484.194	50019.669	50190.923	50093.09	49302.662	46387.902	45516.269	44612.129	43683.428	42736.144	41775.097	40804.126	39826.136	38843.167	37856.493	36866.802	35874.418	34879.53	33982.209
1.62	17038	17038.356	17062.638	17478.852	19910.704	21589.446	23410.162	25310.256	27257.395	31212.99	32205.124	33197.2	34189.13	35180.972	36172.818	47116.876	47715.497	50113.862	50215.871	50057.807	49183.488	46192.91	45312.15	44401.022	43466.974	42515.659	41551.645	40578.546	39599.056	38615.016	37627.532	36637.165	35644.166	34648.709	33750.931
1.8	17038	17038.641	17073.133	17558.407	20108.89	21814.361	23649.775	25558.421	27510.621	31469.531	32461.722	33453.774	34445.67	35437.493	36429.344	47375.083	47973.358	50206.906	50232.423	50009.323	49045.233	45973.67	45083.139	44164.529	43224.763	42269.15	41301.988	40326.641	39345.568	38360.392	37372.037	36380.931	35387.255	34391.168	33492.896
1.98	17038	17039.158	17087.962	17653.576	20330.925	22064.389	23915.233	25832.91	27790.433	31752.677	32744.906	33736.926	34728.784	35720.59	36712.451	47660.092	48257.707	50294.788	50237.162	49944.973	48886.339	45729.636	44828.804	43902.306	42956.523	41996.405	41025.959	40048.279	39065.565	38079.204	37089.924	36098.021	35103.605	34106.834	33208.031
2.16	17038	17040.085	17108.696	17766.554	20577.661	22340.012	24206.829	26133.913	28096.953	32062.466	33054.712	34046.687	35038.506	36030.299	37022.176	47971.951	48568.379	50373.088	50226.464	49861.971	48705.191	45460.247	44548.707	43614.008	42661.984	41697.217	40723.402	39743.341	38758.952	37771.371	36781.121	35788.363	34793.148	33795.64	32896.277
2.34	17038	17041.74	17137.351	17899.706	20849.962	22641.713	24524.853	26461.62	28430.292	32398.926	33391.161	34383.082	35374.862	36366.646	37358.547	48310.696	48905.067	50437.03	50196.56	49757.456	48500.144	45164.936	44242.403	43299.289	42340.881	41371.385	40394.168	39411.713	38425.641	37436.818	36445.559	35451.891	34455.819	33457.526	32557.583
2.52	17038	17044.662	17176.456	18055.545	21148.686	22969.971	24869.597	26816.215	28790.557	32762.074	33754.271	34746.13	35737.872	36729.653	37721.587	48676.35	49267.239	50481.559	50143.597	49628.535	48269.541	44843.133	43909.45	42957.805	41992.952	41018.715	40038.114	39053.293	38065.552	37075.478	36083.174	35088.544	34091.557	33092.437	32191.903
2.7	17038	17049.752	17229.102	18236.699	21474.672	23325.256	25241.346	27197.881	29177.845	33151.924	34144.055	35135.843	36127.551	37119.338	38111.316	49068.919	49654.012	50501.436	50063.708	49472.325	48011.744	44494.273	43549.406	42589.218	41617.944	40639.022	39655.107	38667.982	37678.608	36687.285	35693.904	34698.26	33700.305	32700.321	31799.196
2.88	17038	17058.484	17298.967	18445.868	21828.732	23708.023	25640.382	27606.794	29592.243	33568.482	34560.52	35552.233	36543.912	37535.715	38527.75	49488.379	50063.949	50491.353	49953.076	49286	47725.153	44117.803	43161.843	42193.198	41215.612	40232.13	39245.023	38255.691	37264.741	36272.177	35277.689	34280.978	33282.004	32281.13	31379.428
3.06	17038	17073.178	17390.307	18685.783	22211.634	24118.705	26066.976	28043.123	30033.83	34011.75	35003.671	35995.308	36986.967	37978.798	38970.906	49934.652	50494.746	50446.055	49808.004	49066.832	47408.235	43713.185	42746.343	41769.432	40785.727	39797.879	38807.75	37816.339	36823.885	35830.094	34834.468	33836.638	32836.598	31834.816	30932.569
3.24	17038	17097.361	17507.907	18959.153	22624.093	24557.71	26521.388	28507.029	30502.671	34481.728	35473.511	36465.075	37456.726	38448.599	39440.797	50407.566	50942.776	50360.476	49624.975	48812.236	47059.539	43279.908	42302.512	41317.623	40328.077	39336.121	38343.189	37349.854	36355.98	35360.978	34364.179	33365.178	32364.03	31361.335	30458.597
3.42	17038	17136.145	17656.991	19268.611	23066.758	25025.417	27003.868	28998.661	30998.815	34978.41	35970.042	36961.541	37953.198	38945.13	39937.437	50906.766	51402.403	50229.853	49400.711	48519.81	46677.725	42817.489	41829.979	40837.499	39842.473	38846.731	37851.254	36856.175	35860.971	34864.77	33866.761	32866.534	31864.243	30860.649	29957.499
3.6	17038	17196.535	17843.104	19616.661	23540.21	25522.167	27514.647	29518.152	31522.297	35501.791	36493.264	37484.712	38476.393	39468.402	40460.843	51431.553	51865.047	50049.841	49132.226	48187.367	46261.576	42325.482	41328.405	40328.816	39328.749	38329.602	37331.876	36335.248	35338.806	34341.413	33342.15	32340.644	31337.183	30332.721	29429.269
3.78	17038	17287.519	18071.952	20005.614	24044.944	26048.269	28053.94	30065.619	32073.132	36051.861	37043.18	38034.596	39026.321	40018.428	41011.027	51980.576	52317.93	49816.597	48816.87	47812.975	45810.02	41803.484	40797.486	39791.36	38786.769	37784.65	36785.002	35787.03	34789.439	33790.849	32790.28	31787.442	30782.797	29777.524	28873.915
3.96	17038	17419.754	18349.23	20437.537	24581.373	26603.989	28621.945	30641.162	32651.312	36628.613	37619.791	38611.198	39602.99	40595.219	41588.008	52551.222	52742.581	49526.837	48452.375	47394.977	45322.139	41251.136	40236.959	39224.957	38216.428	37211.818	36210.595	35211.488	34212.824	33213.018	32211.081	31206.861	30201.033	29195.035	28291.463
4.14	17038	17604.805	18680.422	20914.193	25149.82	27189.555	29218.838	31244.852	33256.808	37232.04	38223.099	39214.527	40206.414	41198.789	42191.802	53138.44	53113.306	49177.88	48036.881	46932.018	44797.184	40668.132	39646.606	38629.473	37617.656	36611.073	35608.637	34608.594	33608.915	32607.856	31604.483	30598.835	29591.845	28585.245	27681.956
4.32	17038	17854.11	19070.602	21436.995	25750.519	27805.155	29844.773	31876.738	33889.565	37862.134	38853.109	39844.593	40836.601	41829.153	42822.43	53732.442	53396.258	48767.665	47568.968	46423.058	44234.58	40054.221	39026.261	38004.818	36990.421	35982.41	34979.124	33978.33	32977.668	31975.298	30970.411	29963.298	28955.192	27948.156	27045.46
