x	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	1000	1712.9143	1760.9978	1761.535	1781.7744	1873.7683	1950.6298	1847.1069	1785.766	1847.8327	1888.344	1937.7239	1992.6505	2044.3701	2075.9663	1333.0217	559.39401	481.63695	494.67673	493.56225	470.95769	488.68749	497.814	504.33308	507.43318	505.00609	497.33073	487.40586	477.48507	468.58034	461.11032	455.30607	451.46123	450.28809	453.05424
2.937931	1000	1711.1764	1758.9895	1759.5393	1779.6846	1871.0589	1946.9598	1844.2858	1783.5824	1845.2814	1885.4927	1934.461	1988.8579	2040.1459	2071.3768	1331.6639	559.82366	482.05093	495.06177	493.94183	471.37728	489.08883	498.19588	504.70013	507.79075	505.36072	497.68874	487.77157	477.8615	468.97009	461.51615	455.73131	451.91027	450.76618	453.55854
5.8758621	1000	1705.9842	1752.996	1753.5832	1773.4478	1862.9805	1936.0424	1835.8954	1777.0704	1837.6746	1876.9952	1924.7409	1977.5638	2027.4695	2057.6145	1327.6237	561.1132	483.29423	496.21828	495.08212	472.6378	490.294	499.34271	505.80253	508.86477	506.42605	498.76431	488.8704	478.99265	470.14139	462.73586	457.00948	453.26007	452.20317	455.07346
8.8137931	1000	1697.4014	1743.1103	1743.7579	1763.1605	1849.6816	1918.1555	1822.1495	1766.3439	1825.1522	1863.0188	1908.7691	1959.0222	2006.3302	2034.6987	1320.9992	563.26446	485.37092	498.1505	496.98782	474.74454	492.3065	501.25809	507.64406	510.65927	508.20641	500.56219	490.70754	480.88418	472.10041	464.77619	459.14792	455.51861	454.60719	457.60496
11.751724	1000	1685.5319	1729.4831	1730.2115	1748.9788	1831.4049	1893.7577	1803.3894	1751.5867	1807.9414	1843.8372	1886.8851	1933.6611	1976.9704	2002.6629	1311.9465	566.28069	488.28784	500.86555	499.66685	477.70635	495.1322	503.9481	510.23112	513.18102	510.70908	503.09033	493.29169	483.54561	474.85753	467.64849	462.15906	458.69935	457.99179	461.16245
14.689655	1000	1670.5159	1712.3159	1713.1419	1731.1126	1808.4786	1863.4731	1780.061	1733.0433	1786.3478	1819.82	1859.5532	1902.0785	1940.5393	1962.3183	1300.6712	570.16681	492.05472	504.37357	503.13044	481.53573	498.77948	507.4214	513.5728	516.43966	513.94447	506.36007	496.63528	486.99051	478.42756	471.3689	466.06053	462.82135	462.37574	465.75791
17.627586	1000	1652.5251	1691.8522	1692.7887	1709.8162	1781.3027	1828.0605	1752.6851	1711.0068	1760.7414	1791.417	1827.3434	1865.0205	1898.0272	1915.5417	1287.4166	574.92983	496.68423	508.6878	507.39329	486.2489	503.25935	511.68936	517.6811	520.44786	517.92621	510.38632	500.75459	491.23666	482.82991	475.95863	470.87547	467.90944	467.78277	471.40449
20.565517	1000	1631.7569	1668.3671	1669.4226	1685.3773	1750.3305	1788.3652	1721.8234	1685.8045	1731.5392	1759.1352	1790.9005	1823.3382	1850.5707	1863.7569	1272.451	580.57925	502.19226	513.82483	512.47378	491.86595	508.58561	516.76633	522.57107	525.22157	522.67146	515.18777	505.67008	496.30642	488.08896	481.44429	476.63289	473.99448	474.24088	478.11459
23.503448	1000	1608.4272	1642.1555	1643.3341	1658.1055	1716.0452	1745.2607	1688.044	1657.783	1699.1846	1723.5119	1750.9059	1777.9275	1799.3546	1808.4134	1256.0566	587.1277	508.59802	519.80483	518.39424	498.41096	514.77515	522.66982	528.26114	530.78026	528.20115	520.78725	511.40669	502.22702	494.23444	487.85834	483.36805	481.11343	481.78099	485.89752
26.441379	1000	1582.7631	1613.5201	1614.822	1628.3187	1678.9369	1699.5915	1651.892	1627.2929	1664.1263	1685.0871	1708.0372	1729.6654	1745.51	1750.8443	1238.518	594.5915	515.92439	526.65183	525.18125	505.91221	521.84823	529.42091	534.77344	537.1473	534.54037	527.21209	517.99432	509.03112	501.30198	495.23961	491.12298	489.30924	490.43471	494.75737
29.37931	1000	1554.9961	1582.7612	1584.1825	1596.3325	1639.4806	1652.1275	1613.8664	1594.6762	1626.7999	1644.3782	1662.9325	1679.358	1690.0362	1692.1715	1220.1135	602.99133	524.19825	534.39413	532.86607	514.40239	529.82884	537.04458	542.13422	544.35037	541.71883	534.49462	525.4683	516.75727	509.33368	503.63396	499.94698	498.63019	500.23077	504.69206
32.317241	1000	1525.3555	1550.1669	1551.7007	1562.4496	1598.1196	1603.535	1574.4063	1560.2556	1587.6127	1601.8614	1616.166	1627.7065	1633.7603	1633.2701	1201.1097	612.35286	533.45086	543.06474	541.48505	523.91885	538.74517	545.57025	550.37436	552.42199	549.77136	542.67277	533.87004	525.45074	518.37888	513.09507	509.89692	509.12815	511.19082	515.69464
35.255172	1000	1494.0623	1516.0064	1517.6431	1526.9524	1555.2545	1554.365	1533.8847	1524.327	1546.9332	1557.9599	1568.2349	1575.2953	1577.3309	1574.7798	1181.7561	622.70742	543.71837	552.70197	551.08026	534.50394	548.63021	555.03237	559.53	561.40018	558.73866	551.79074	543.24783	535.16424	528.49509	523.68523	521.03731	520.85491	523.32594	527.75704
38.193103	1000	1461.3254	1480.5253	1482.2529	1490.0977	1511.2382	1505.0553	1492.6088	1487.1552	1505.0863	1513.0393	1519.557	1522.5944	1521.2347	1517.1423	1162.2843	634.09257	555.04246	563.35006	561.70014	546.20535	559.52239	565.47113	569.64324	571.32915	568.66798	561.8999	553.65776	545.95903	539.74907	535.47618	533.43924	533.85615	536.63667	540.87536
41.131034	1000	1427.3379	1443.9426	1445.7474	1452.1144	1466.3766	1455.9396	1450.8251	1448.9724	1462.3518	1467.4085	1470.4757	1469.9733	1465.8232	1460.6444	1142.9066	646.55282	567.47106	575.06006	573.40028	559.07658	571.46646	576.93336	580.76311	582.26031	579.6142	573.05981	565.16485	557.9061	552.218	548.54976	547.17719	548.16435	551.11789	555.05531
44.068966	1000	1392.2751	1406.45	1408.3171	1413.2021	1420.9325	1407.2622	1408.7263	1409.9782	1418.9666	1421.3245	1421.2694	1417.7166	1411.3413	1405.4589	1123.8174	660.14025	581.05924	587.89077	586.24436	573.17753	584.51447	589.47358	592.94662	594.25332	591.64091	585.33947	577.84445	571.08768	565.99091	562.99756	562.32223	563.79482	566.76743	570.31665
47.006897	1000	1356.2941	1368.2129	1370.1264	1373.5324	1375.1322	1359.1926	1366.4592	1370.3417	1375.1289	1374.9996	1372.163	1366.041	1357.9523	1351.6772	1105.1947	674.91537	595.87035	601.90996	600.30529	588.57514	598.72706	603.15534	606.2601	607.37746	604.82187	598.81888	591.78385	585.59895	581.16989	578.91847	578.93157	580.74998	583.59501	586.69634
49.944828	1000	1319.5331	1329.3712	1331.3144	1333.251	1329.1721	1311.8401	1324.1331	1330.2041	1331.0033	1328.6084	1323.3379	1315.1095	1305.7582	1299.3346	1087.2022	690.94809	611.97735	617.1959	615.66651	605.34436	614.17498	618.05276	620.78084	621.7133	619.24272	613.59086	607.08436	601.55009	597.87066	596.41138	597.03977	599.03173	601.62912	604.25058
52.882759	1000	1282.1125	1290.0421	1291.9978	1292.4801	1283.2254	1265.266	1281.8268	1289.6819	1286.7266	1282.2966	1274.9417	1265.0422	1254.8157	1248.4278	1069.9922	708.31886	629.46452	633.83907	632.42356	623.56927	630.94102	634.25258	636.59909	637.35471	635.00311	629.76338	623.86376	619.06832	616.22075	615.56169	616.66122	618.65588	620.92137	623.0559
55.82069	1000	1244.1355	1250.3218	1252.2725	1251.3215	1237.4458	1219.4949	1239.5952	1248.8701	1242.4134	1236.1868	1227.0951	1215.9254	1205.1481	1198.9284	1053.7077	727.12018	648.42951	651.94446	650.68597	643.34458	649.12234	651.85657	653.82054	654.41138	652.21934	647.4624	642.25919	638.29952	636.35185	636.42718	637.80676	639.66303	641.54883	643.20995
58.758621	1000	1205.6898	1210.2887	1212.2164	1209.8602	1191.9693	1174.5241	1197.4744	1207.8455	1198.1616	1190.3849	1179.8969	1167.8181	1156.7542	1150.7917	1038.486	747.45843	668.98602	671.63432	670.5795	664.77757	668.83352	670.98465	672.56945	673.01197	671.0276	666.83535	662.43045	659.40721	658.38277	659.03872	660.50512	662.1249	663.61533	664.8323
61.696552	1000	1166.8486	1170.0052	1171.8917	1168.1682	1146.9136	1130.3307	1155.4862	1166.6692	1154.0569	1144.9841	1133.4276	1120.7563	1109.6156	1103.9632	1024.4607	769.45628	691.26712	693.05159	692.24889	687.99066	690.21033	691.77878	692.99259	693.30803	691.58817	688.05546	684.56292	682.56425	682.39956	683.42276	684.81877	686.14747	687.2524	688.06577
64.634483	1000	1127.6724	1129.5199	1131.3469	1126.3081	1102.3762	1086.878	1113.6415	1125.3898	1110.1774	1100.0677	1087.7513	1074.7583	1063.701	1058.3824	1011.7651	793.25569	715.42952	716.36426	715.8613	713.12474	713.41465	714.40796	715.26422	715.47908	714.09055	711.32679	708.86777	707.93118	708.45565	709.63166	710.85249	711.87276	712.62079	713.07881
67.572414	1000	1088.2103	1088.8699	1090.6186	1084.3382	1058.4327	1044.1197	1071.9432	1084.0453	1066.5964	1055.7108	1042.9174	1029.827	1018.971	1013.9868	1000.5349	819.0219	741.65915	741.77092	741.61051	740.34361	738.64077	739.07478	739.59264	739.73911	738.76018	736.88938	735.57235	735.62983	736.60378	737.76523	738.75759	739.48063	739.91311	740.06909
70.510345	1000	1048.5013	1048.0818	1049.7335	1042.3172	1015.1355	1002.0043	1030.3879	1042.6654	1023.3849	1011.9801	998.9612	985.95354	975.38053	970.71295	990.91141	846.9485	770.1785	769.50789	769.72245	769.83981	766.12385	766.0239	766.22871	766.34506	765.86647	765.02101	764.89187	765.74644	766.93766	767.98183	768.73485	769.19188	769.35838	769.26878
73.448276	1000	1008.5751	1007.1738	1008.7095	1000.3095	972.5151	960.47677	988.96804	1001.2732	980.61198	968.93345	955.90513	943.11981	932.88114	928.49837	983.04473	877.26431	801.25644	799.85856	800.46242	801.84247	796.15111	795.55357	795.47724	795.60796	795.73176	796.02539	796.99635	798.37902	799.61984	800.50447	801.03849	801.27377	801.22879	800.95162
76.386207	1000	968.4539	966.1565	967.55691	958.38887	930.58081	919.48106	947.67254	959.88733	938.34464	926.61881	913.76006	901.30025	891.4226	887.28226	977.09775	910.24247	835.22154	833.16579	834.14489	836.62802	829.07728	828.03126	827.71249	827.90733	828.73591	830.19365	832.02434	833.69348	834.89617	835.62668	835.98311	836.04893	835.84938	835.44251
79.324138	1000	928.15239	925.03391	926.27954	916.63907	889.3239	878.96122	906.48814	918.52364	896.64558	885.07322	872.52645	860.46385	850.95402	847.00603	973.25042	946.21293	872.48069	869.84871	871.14709	874.5348	865.34601	863.9154	863.39947	863.70812	865.30009	867.76741	870.15526	871.95876	873.10603	873.72176	873.95555	873.90866	873.61146	873.13017
82.262069	1000	887.67902	883.80415	884.87534	875.14991	848.72044	838.8624	865.40006	877.19716	855.57091	844.32242	832.19573	820.57555	811.42465	807.61363	971.70507	985.5799	913.54549	910.42626	911.92847	915.98379	905.52067	903.78664	903.12331	903.57195	905.83347	908.9791	911.68357	913.56747	914.69568	915.25891	915.43351	915.33214	914.99097	914.48406
85.2	1000	847.03637	842.46006	843.337	834.00885	808.73451	799.13146	824.39268	835.92452	815.16771	804.38107	792.75187	781.59748	772.78453	769.05173	972.69292	1028.8467	959.07084	955.55076	957.05916	961.50845	950.32979	948.39348	947.62716	948.13388	950.70538	954.16326	957.06447	959.05684	960.2408	960.82966	961.01346	960.91377	960.574	960.07721
86.057143	1000	840.31601	835.56125	836.39252	827.18856	802.12859	792.525	817.53478	829.04224	808.49573	797.79771	786.25666	775.1793	766.41615	762.68338	969.65832	1035.9657	967.16991	963.5775	965.04967	969.5387	958.31838	956.35497	955.57135	956.06832	958.6395	962.11668	965.04636	967.06452	968.26825	968.87134	969.06529	968.97314	968.64007	968.15123
