r(x_rel=0.25)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	17038	17038.005	17039.974	17209.989	19186.896	20781.614	22573.282	24470.607	26420.975	30390.226	31392.581	32398.584	33407.745	34419.395	35432.828	46577.318	47182.642	50182.184	50598.235	50696.308	50118.77	47250.006	46362.302	45440.149	44495.494	43535.215	42563.743	41583.779	40596.946	39604.37	38607.085	37606.243	36603.119	35598.964	34695.183
0.18	17038	17038.007	17040.403	17221.166	19226.669	20828.118	22623.522	24522.801	26474.09	30444.259	31446.82	32453.009	33462.322	34474.086	35487.595	46631.828	47237.086	50212.812	50611.184	50692.635	50091.558	47202.889	46313.139	45389.581	44443.95	43482.985	42511.007	41530.642	40543.475	39550.619	38553.111	37552.113	36548.905	35544.728	34640.965
0.36	17038	17038.009	17040.87	17232.581	19266.557	20874.688	22673.798	24575.011	26527.214	30498.298	31501.065	32507.439	33516.903	34528.779	35542.363	46686.337	47291.526	50242.975	50623.644	50688.553	50064.113	47155.708	46263.932	45338.981	44392.385	43430.741	42458.259	41477.496	40489.996	39496.86	38499.131	37497.979	36494.689	35490.492	34586.749
0.54	17038	17038.014	17041.605	17249.072	19322.648	20940.024	22744.259	24648.143	26601.603	30573.965	31577.019	32583.65	33593.324	34605.355	35619.042	46762.646	47367.732	50284.209	50640.049	50681.972	50025.201	47089.521	46194.949	45268.077	44320.149	43357.565	42384.388	41403.07	40415.107	39421.584	38423.549	37422.186	36418.784	35414.562	34510.847
0.72	17038	17038.022	17042.74	17271.859	19397.486	21026.938	22837.861	24745.219	26700.313	30674.361	31677.794	32684.764	33694.712	34706.945	35720.764	46863.866	47468.803	50337.128	50659.978	50671.721	49972.724	47001.487	46103.276	45173.905	44224.246	43260.439	42286.35	41304.306	40315.734	39321.702	38323.268	37321.632	36318.088	35313.84	34410.165
0.9	17038	17038.036	17044.447	17301.951	19492.193	21136.52	22955.671	24867.287	26824.38	30800.534	31804.441	32811.832	33822.118	34834.597	35848.578	46991.031	47595.759	50400.754	50682.108	50656.444	49905.44	46890.512	45987.839	45055.409	44103.628	43138.318	42163.106	41180.16	40190.832	39196.169	38197.244	37195.278	36191.567	35187.293	34283.674
1.08	17038	17038.063	17046.974	17340.465	19607.564	21269.428	23098.263	25014.864	26974.295	30952.976	31957.452	32965.343	33976.028	34988.796	36002.964	47144.606	47749.044	50473.34	50704.586	50634.514	49822.218	46755.944	45848.042	44912.032	43957.768	42990.692	42014.151	41030.134	40039.905	39044.493	38044.99	37042.642	36038.747	35034.454	34130.908
1.26	17038	17038.11	17050.678	17388.704	19744.319	21426.178	23266.032	25188.271	27150.342	31131.967	32137.105	33145.572	34156.712	35169.806	36184.182	47324.836	47928.873	50552.553	50725.121	50604.03	49721.88	46597.28	45683.459	44743.402	43786.328	42817.246	41839.184	40853.933	39862.664	38866.392	37866.233	36863.46	35859.371	34855.074	33951.62
1.44	17038	17038.197	17056.064	17448.18	19903.172	21607.242	23459.3	25387.738	27352.712	31337.692	32343.582	33352.697	34364.342	35377.794	36392.394	47531.864	48135.342	50635.524	50741.04	50562.837	49603.158	46414.066	45493.729	44549.223	43589.056	42617.755	41637.994	40651.355	39658.915	38661.678	37660.795	36657.566	35653.284	34649.003	33745.665
1.62	17038	17038.354	17063.839	17520.626	20084.864	21813.079	23678.359	25613.455	27581.546	31570.287	32577.015	33586.843	34599.037	35612.87	36627.706	47765.777	48368.468	50718.872	50749.328	50508.556	49464.69	46205.866	45278.518	44329.234	43365.742	42392.035	41410.415	40422.243	39428.509	38430.216	37428.552	36424.849	35420.387	34416.151	33512.953
