x	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	0.00012716767	1.192011	1.1680977	1.1493264	1.1952062	1.3847659	1.6453739	1.385091	1.2142124	1.3326512	1.4170289	1.5276564	1.666718	1.8256855	1.9555623	-1.460611	-1.2332132	-1.2505894	-1.1571133	-1.1543247	-1.3057565	-1.2103723	-1.1429907	-1.0935712	-1.0652415	-1.0644796	-1.0860136	-1.1206587	-1.1638679	-1.214169	-1.2718347	-1.3384175	-1.4165528	-1.5071016	-1.5819118
2.937931	0.00012716767	1.1930209	1.1692222	1.15052	1.1965754	1.3865126	1.6456516	1.3837685	1.2149807	1.3340649	1.4185271	1.5291913	1.6680764	1.8261364	1.9540188	-1.4605697	-1.2343098	-1.2511278	-1.1579034	-1.1553648	-1.3068325	-1.2106832	-1.14348	-1.0942393	-1.0660741	-1.065482	-1.0871996	-1.1220325	-1.1654285	-1.2159163	-1.2737715	-1.3405448	-1.418832	-1.5092417	-1.5827779
5.8758621	0.00012716767	1.1960857	1.1726297	1.1541364	1.2007201	1.3917799	1.6463163	1.3798662	1.2173364	1.3383257	1.4230316	1.5337846	1.6720948	1.8274021	1.9492429	-1.4604634	-1.2376017	-1.2527504	-1.1602988	-1.158514	-1.3100696	-1.211635	-1.1449723	-1.0962747	-1.0686053	-1.0685262	-1.090798	-1.1261971	-1.1701562	-1.2212065	-1.2796323	-1.3469759	-1.4257062	-1.5156234	-1.5851119
8.8137931	0.00012716767	1.2011982	1.1783067	1.1601613	1.2076207	1.4005081	1.6469019	1.3737114	1.2213571	1.3453803	1.4304626	1.5413061	1.6785397	1.8292541	1.9410001	-1.4602992	-1.2430571	-1.2554733	-1.1643223	-1.1637949	-1.3154377	-1.2132599	-1.147508	-1.09972	-1.0728786	-1.0736561	-1.096853	-1.1331983	-1.1780986	-1.2300889	-1.2894664	-1.3577542	-1.4371764	-1.5260233	-1.58807
11.751724	0.00012716767	1.2083476	1.1862321	1.1685719	1.2172454	1.4125953	1.6466565	1.3658354	1.2271599	1.3551404	1.4406874	1.5515356	1.6870152	1.8311861	1.92897	-1.4600928	-1.2506243	-1.2593155	-1.170011	-1.1712473	-1.3228897	-1.2156142	-1.1511552	-1.104646	-1.0789658	-1.0809435	-1.1054387	-1.1431126	-1.189335	-1.2426452	-1.3033561	-1.372949	-1.4532278	-1.5399873	-1.5901255
14.689655	0.00012716767	1.2175199	1.1963782	1.1793389	1.2295522	1.4278955	1.6445839	1.3569294	1.2348842	1.3674849	1.4535211	1.5641617	1.6969579	1.8321074	1.9125425	-1.4598543	-1.2602159	-1.2643102	-1.1774233	-1.1809229	-1.3323506	-1.2187752	-1.1560099	-1.1111543	-1.0869684	-1.0904908	-1.1166598	-1.1560481	-1.2039771	-1.2589909	-1.3214155	-1.3926494	-1.4737958	-1.5566822	-1.5889271
17.627586	0.00012716767	1.2286996	1.2087138	1.1924285	1.2444917	1.4462119	1.6395432	1.3478102	1.2446723	1.3822619	1.468728	1.5787787	1.7076339	1.8309103	1.890723	-1.4595888	-1.2717279	-1.2704941	-1.1866267	-1.1928893	-1.3437242	-1.2228489	-1.1621978	-1.1193768	-1.0970186	-1.1024309	-1.1306519	-1.1721446	-1.2221698	-1.2792738	-1.3437889	-1.4169533	-1.4987029	-1.5746466	-1.5812759
20.565517	0.00012716767	1.2418714	1.2232064	1.2078057	1.2620094	1.467289	1.6303806	1.3393522	1.2566496	1.3992916	1.4860223	1.5948842	1.7181423	1.8263492	1.8629492	-1.4592503	-1.2850299	-1.2779292	-1.197712	-1.2072314	-1.3568814	-1.2279676	-1.1698756	-1.1294775	-1.1092805	-1.1169282	-1.1475825	-1.1915748	-1.244091	-1.3036756	-1.3706465	-1.4459443	-1.5275353	-1.5913978	-1.5634257
23.503448	0.00012716767	1.2570219	1.2398256	1.2254377	1.2820499	1.4907976	1.6161172	1.3324162	1.2709119	1.4183688	1.5050683	1.6118754	1.7274253	1.8171474	1.8289369	-1.4588723	-1.3000233	-1.2866734	-1.2107939	-1.2240417	-1.3716623	-1.2342952	-1.1792343	-1.141654	-1.1239521	-1.1341805	-1.1676529	-1.2145452	-1.269953	-1.3324095	-1.4021779	-1.4796472	-1.5594106	-1.6029473	-1.5320531
26.441379	0.00012716767	1.2741421	1.2585462	1.2452968	1.3045589	1.5163095	1.5961585	1.3277894	1.2875169	1.4392642	1.525477	1.6290412	1.7342887	1.8021088	1.7887677	-1.4584919	-1.3166069	-1.2968131	-1.2259978	-1.2434283	-1.3878722	-1.2420311	-1.190499	-1.1561407	-1.1412648	-1.1544191	-1.1910979	-1.2412969	-1.3000022	-1.3657193	-1.4385759	-1.5179376	-1.5925376	-1.6035147	-1.4859397
29.37931	0.00012716767	1.2932296	1.2793516	1.2673643	1.3294868	1.543256	1.570451	1.3261339	1.3064807	1.4617225	1.5467971	1.6455481	1.7374306	1.7802629	1.7429206	-1.4582102	-1.3346908	-1.3084443	-1.2434836	-1.2655075	-1.4052778	-1.2514092	-1.2039363	-1.1732091	-1.1614881	-1.1779117	-1.2181886	-1.2721067	-1.3345197	-1.4038736	-1.4800048	-1.5603537	-1.623451	-1.5862515	-1.4276122
32.317241	0.00012716767	1.3142907	1.3022367	1.2916338	1.3567895	1.5708708	1.5395953	1.3279584	1.3277859	1.485456	1.568499	1.6604233	1.7354877	1.7509755	1.6922201	-1.4581206	-1.3542095	-1.3216955	-1.263427	-1.2903993	-1.4236077	-1.2627055	-1.2198516	-1.1931725	-1.1849308	-1.204964	-1.2492333	-1.3072883	-1.3738198	-1.4471555	-1.5265314	-1.6056991	-1.6459174	-1.5459665	-1.3635132
35.255172	0.00012716767	1.3373427	1.3272111	1.3181142	1.3864286	1.5981046	1.5048108	1.3336238	1.3513868	1.5101328	1.5899493	1.672535	1.7271175	1.7140509	1.637749	-1.4583224	-1.3751246	-1.3367068	-1.2860396	-1.3182255	-1.4425578	-1.2762444	-1.2385989	-1.2163891	-1.2119435	-1.2359209	-1.284579	-1.3471923	-1.4182472	-1.495838	-1.5779712	-1.6512252	-1.6502273	-1.4833282	-1.3020313
38.193103	0.00012716767	1.3624165	1.3543011	1.346832	1.418368	1.6235279	1.4678292	1.343352	1.377221	1.5353571	1.6103787	1.6805878	1.711106	1.6697876	1.5807349	-1.458942	-1.397415	-1.3536412	-1.3115566	-1.3490981	-1.4617955	-1.2923975	-1.2605817	-1.2432668	-1.2429216	-1.2711697	-1.3246124	-1.3922067	-1.4681685	-1.5501287	-1.6335374	-1.6910892	-1.625213	-1.4070849	-1.2508126
41.131034	0.00012716767	1.389558	1.3835526	1.3778341	1.4525675	1.6452452	1.4306946	1.357247	1.4052176	1.560643	1.6288437	1.6831406	1.6865219	1.6189707	1.5224468	-1.4601488	-1.421056	-1.3727116	-1.340242	-1.3831114	-1.4809721	-1.3115958	-1.2862609	-1.2742645	-1.2783085	-1.3111417	-1.3697622	-1.4427541	-1.5239528	-1.6100383	-1.6910297	-1.7142534	-1.5654128	-1.3309791	-1.2151853
