t(s)	jtot_cons
0	0
100	0.16627461
200	0.1412298
400	0.12136385
800	0.2775339
1000	0.46426463
1200	0.55596176
1400	0.31669674
1600	0.21115573
2000	0.44244969
2100	0.53006327
2200	0.61993295
2300	0.71381943
2400	0.80725721
2500	0.87114204
3600	-0.44114477
3660	-0.23109139
4000	-0.19454271
4100	-0.10630497
4200	-0.15872814
4400	-0.3265134
4800	-0.097091911
4900	-0.024199946
5000	0.021216833
5100	0.016388042
5200	-0.10649906
5300	-0.20930735
5400	-0.25278188
5500	-0.26949085
5600	-0.28188294
5700	-0.29868496
5800	-0.32326797
5900	-0.35792664
6000	-0.40352704
6090	-0.44408604
