x	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
2.937931	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
5.8758621	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
8.8137931	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
11.751724	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
14.689655	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
17.627586	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
20.565517	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
23.503448	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
26.441379	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
29.37931	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
32.317241	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
35.255172	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
38.193103	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
41.131034	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
44.068966	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
47.006897	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
49.944828	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
52.882759	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
55.82069	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
58.758621	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
61.696552	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
64.634483	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
67.572414	0.25	0.24807778	0.24807536	0.24807053	0.2480609	0.2480561	0.24805132	0.24804655	0.24804178	0.2480323	0.24802993	0.24802757	0.24802521	0.24802285	0.2480205	0.24799479	0.2479934	0.24798553	0.24798322	0.24798091	0.2479763	0.24796712	0.24796483	0.24796255	0.24796026	0.24795798	0.2479557	0.24795343	0.24795115	0.24794888	0.24794661	0.24794435	0.24794208	0.24793982	0.24793779
