x	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
97.2	4.2729614	4.1098918	4.0913323	4.032415	3.9305604	3.8848567	3.836217	3.7902289	3.7467783	3.6770853	3.6608795	3.6446465	3.6284898	3.612787	3.5982659	3.6114327	3.6930278	3.7859719	3.8016127	3.8183983	3.8537651	3.9288055	3.9529591	3.9784048	4.0032968	4.0267784	4.0487962	4.0697263	4.090301	4.1113564	4.1336389	4.1576278	4.1832183	4.2091844	4.2304952
99.806897	4.2729614	4.1098753	4.09132	4.0324027	3.9305478	3.8848444	3.836205	3.7902167	3.7467656	3.6770726	3.6608668	3.6446339	3.6284772	3.6127745	3.5982534	3.6114499	3.6930454	3.7859859	3.8016263	3.8184116	3.8537779	3.9288176	3.9529712	3.978417	4.0033091	4.0267909	4.0488087	4.0697388	4.0903133	4.1113686	4.1336509	4.1576398	4.1832303	4.2091965	4.2305078
102.41379	4.2729614	4.1098261	4.0912829	4.0323658	3.9305099	3.8848076	3.836169	3.7901801	3.7467278	3.6770344	3.6608288	3.644596	3.6284395	3.6127369	3.598216	3.6115009	3.6930973	3.7860275	3.8016669	3.8184514	3.8538163	3.9288537	3.9530075	3.9784537	4.0033463	4.0268284	4.0488463	4.0697761	4.0903503	4.111405	4.133687	4.1576758	4.1832663	4.209233	4.2305453
105.02069	4.2729614	4.109745	4.0912211	4.0323045	3.930447	3.8847463	3.836109	3.7901191	3.7466649	3.6769709	3.6607656	3.6445331	3.6283767	3.6126744	3.5981537	3.6115841	3.6931823	3.7860964	3.8017342	3.8185175	3.8538801	3.9289139	3.9530679	3.9785147	4.003408	4.0268907	4.0489088	4.0698383	4.0904118	4.1114659	4.1337473	4.1577357	4.1833264	4.2092938	4.2306077
107.62759	4.2729614	4.1096328	4.0911346	4.0322187	3.930359	3.8846605	3.8360248	3.7900338	3.7465771	3.6768822	3.6606773	3.6444451	3.6282891	3.612587	3.5980665	3.6116981	3.6932991	3.7861922	3.8018279	3.8186095	3.8539692	3.9289982	3.9531525	3.9786002	4.0034944	4.0269778	4.0489961	4.0699252	4.0904979	4.111551	4.1338317	4.1578197	4.1834105	4.2093788	4.2306948
110.23448	4.2729614	4.1094904	4.0910233	4.0321085	3.9302461	3.8845502	3.8359165	3.7899243	3.7464644	3.6767685	3.660564	3.6443322	3.6281765	3.6124748	3.5979547	3.6118416	3.6934465	3.7863145	3.8019477	3.8187273	3.8540835	3.9291067	3.9532613	3.9787099	4.0036054	4.0270897	4.0491082	4.0700369	4.0906085	4.1116605	4.1339402	4.1579278	4.1835187	4.2094881	4.2308065
112.84138	4.2729614	4.1093189	4.0908872	4.0319739	3.9301084	3.8844153	3.835784	3.7897904	3.746327	3.6766299	3.6604258	3.6441945	3.6280392	3.6123378	3.5978181	3.6120134	3.6936235	3.786463	3.8020933	3.8188707	3.8542228	3.9292394	3.9533944	3.9788441	4.0037408	4.0272261	4.049245	4.0701731	4.0907437	4.1117944	4.134073	4.15806	4.1836511	4.2096217	4.2309428
115.44828	4.2729614	4.1091192	4.0907264	4.0318149	3.929946	3.884256	3.8356274	3.7896322	3.746165	3.6764665	3.6602629	3.644032	3.6278772	3.6121762	3.5976569	3.6122124	3.693829	3.7866373	3.8022645	3.8190393	3.8543871	3.9293963	3.9535516	3.9790025	4.0039007	4.0273872	4.0494064	4.070334	4.0909034	4.1119526	4.1342301	4.1582164	4.1838077	4.2097796	4.2311036
118.05517	4.2729614	4.1088923	4.0905408	4.0316317	3.9297589	3.8840723	3.8354465	3.7894497	3.7459785	3.6762783	3.6600753	3.6438449	3.6276905	3.61199	3.5974711	3.6124375	3.6940619	3.7868371	3.8024609	3.819233	3.8545762	3.9295775	3.9537331	3.9791853	4.0040851	4.0275728	4.0495924	4.0705194	4.0910875	4.1121352	4.1344114	4.158397	4.1839884	4.2099617	4.2312888
120.66207	4.2729614	4.1086391	4.0903305	4.0314241	3.9295473	3.8838641	3.8352413	3.789243	3.7457676	3.6760656	3.6598631	3.6436332	3.6274793	3.6117792	3.5972609	3.612688	3.6943213	3.7870621	3.8026823	3.8194517	3.85479	3.9297829	3.9539389	3.9793924	4.0042938	4.0277828	4.0498029	4.0707293	4.091296	4.1123422	4.134617	4.1586019	4.1841934	4.2101681	4.2314984
123.26897	4.2729614	4.1083605	4.0900954	4.0311922	3.9293113	3.8836315	3.8350119	3.7890119	3.7455322	3.6758284	3.6596264	3.643397	3.6272437	3.611544	3.5970261	3.6129628	3.6946064	3.787312	3.8029285	3.819695	3.8550284	3.9300126	3.954169	3.9796238	4.0045269	4.0280172	4.0500378	4.0709636	4.091529	4.1125735	4.1348469	4.158831	4.1844227	4.2103988	4.2317323
125.87586	4.2729614	4.1080572	4.0898356	4.0309361	3.9290508	3.8833745	3.8347581	3.7887566	3.7452725	3.6755668	3.6593653	3.6431365	3.6269836	3.6112844	3.596767	3.6132614	3.6949164	3.7875865	3.8031993	3.8199629	3.8552913	3.9302666	3.9544233	3.9798796	4.0047843	4.0282759	4.050297	4.0712223	4.0917863	4.1128292	4.1351012	4.1590845	4.1846762	4.2106538	4.2319905
128.48276	4.2729614	4.10773	4.0895511	4.0306557	3.9287661	3.8830931	3.83448	3.788477	3.7449886	3.6752808	3.6590798	3.6428515	3.6266991	3.6110004	3.5964835	3.613583	3.6952504	3.7878855	3.8034945	3.8202551	3.8555786	3.9305449	3.954702	3.9801596	4.0050659	4.028559	4.0505806	4.0715054	4.092068	4.1131092	4.1353797	4.1593622	4.1849541	4.210933	4.232273
131.08966	4.2729614	4.1073795	4.0892421	4.030351	3.9284571	3.8827874	3.8341775	3.7881732	3.7446805	3.6749706	3.6587701	3.6425424	3.6263904	3.6106922	3.5961758	3.613927	3.6956079	3.7882085	3.8038138	3.8205715	3.8558901	3.9308476	3.955005	3.9804639	4.0053719	4.0288663	4.0508884	4.0718127	4.092374	4.1134136	4.1356827	4.1596643	4.1852563	4.2112366	4.2325797
133.69655	4.2729614	4.1070062	4.0889085	4.030022	3.9281238	3.8824573	3.8338507	3.787845	3.7443481	3.6746363	3.6584362	3.6422089	3.6260575	3.6103597	3.5958437	3.6142931	3.6959882	3.7885555	3.8041571	3.820912	3.8562258	3.9311746	3.9553323	3.9807925	4.0057021	4.0291978	4.0512205	4.0721443	4.0927043	4.1137423	4.13601	4.1599908	4.1855828	4.2115645	4.2329106
136.30345	4.2729614	4.1066106	4.0885504	4.0296687	3.9277665	3.882103	3.8334995	3.7874925	3.7439917	3.6742778	3.6580782	3.6418514	3.6257004	3.610003	3.5954875	3.6146807	3.6963908	3.7889262	3.8045242	3.8212765	3.8565857	3.931526	3.955684	3.9811454	4.0060566	4.0295535	4.0515768	4.0725001	4.0930589	4.1140953	4.1363617	4.1603417	4.1859338	4.2119167	4.2332656
138.91034	4.2729614	4.1061932	4.088168	4.0292911	3.927385	3.8817244	3.8331238	3.7871157	3.7436111	3.6738953	3.6576961	3.6414697	3.6253191	3.6096221	3.5951071	3.6150895	3.6968151	3.7893204	3.8049151	3.8216647	3.8569696	3.9319018	3.95606	3.9815227	4.0064353	4.0299334	4.0519571	4.07288	4.0934377	4.1144727	4.1367377	4.160717	4.1863091	4.2122932	4.2336449
141.51724	4.2729614	4.1057541	4.0877612	4.0288892	3.9269795	3.8813216	3.8327238	3.7867147	3.7432065	3.6734888	3.65729	3.641064	3.6249137	3.6092171	3.5947025	3.6155193	3.6972609	3.789738	3.8053294	3.8220766	3.8573775	3.932302	3.9564604	3.9819242	4.0068382	4.0303374	4.0523616	4.0732842	4.0938407	4.1148743	4.1371382	4.1611167	4.1867088	4.2126941	4.2340483
144.12414	4.2729614	4.1052938	4.0873303	4.0284631	3.92655	3.8808945	3.8322993	3.7862893	3.7427778	3.6730584	3.6568599	3.6406343	3.6244843	3.608788	3.5942738	3.6159699	3.6977276	3.7901788	3.8057673	3.8225122	3.8578092	3.9327267	3.9568853	3.98235	4.0072652	4.0307656	4.0527902	4.0737124	4.094268	4.1153003	4.137563	4.1615408	4.187133	4.2131193	4.2344758
146.73103	4.2729614	4.1048123	4.0868753	4.0280126	3.9260965	3.8804432	3.8318504	3.7858395	3.7423251	3.6726041	3.6564059	3.6401805	3.6240309	3.6083349	3.593821	3.6164413	3.6982151	3.7906427	3.8062284	3.8229712	3.8582649	3.9331757	3.9573345	3.9828001	4.0077165	4.0312178	4.0532429	4.0741648	4.0947194	4.1157506	4.1380122	4.1619894	4.1875816	4.2135688	4.2349275
149.33793	4.2729614	4.1043099	4.0863963	4.0275379	3.925619	3.8799677	3.8313771	3.7853655	3.7418484	3.6721258	3.6559279	3.6397028	3.6235535	3.6078578	3.5933442	3.6169334	3.6987231	3.7911296	3.8067128	3.8234537	3.8587443	3.9336492	3.9578081	3.9832745	4.008192	4.0316941	4.0537196	4.0746412	4.095195	4.1162251	4.1384858	4.1624625	4.1880547	4.2140427	4.2354033
