t(s)	total_voltage(V)
0	4.1809414
0.05	4.0349194
0.1	4.0343015
0.2	4.033093
0.4	4.0307994
0.8	4.0267009
1.6	4.0200615
3.2	4.0105061
6.4	3.9978998
12.8	3.9816833
25.6	3.9618282
38.4	3.9501359
51.2	3.9431089
64	3.9386588
89.6	3.9332341
100	3.9317596
125.6	3.9286692
151.2	3.9256104
176.8	3.922073
200	3.9181164
225.6	3.9128785
276.8	3.9000721
328	3.8853863
400	3.8639113
451.2	3.8491215
541.2	3.8250751
631.2	3.8035395
721.2	3.7834194
800	3.7656248
890	3.7442958
980	3.7215715
1000	3.7162924
1090	3.6913597
1180	3.6642628
1200	3.6579392
1290	3.6289338
1380	3.6013899
1400	3.5957178
1490	3.5720597
1580	3.5512437
1600	3.5469481
1690	3.5288251
1780	3.5120673
1870	3.4958838
1960	3.4796731
2000	3.4723544
2090	3.4554672
2100	3.4535467
2190	3.4357914
2200	3.43376
2290	3.4148501
2300	3.4126708
2390	3.3922091
2400	3.3898299
2490	3.3673328
2500	3.3647095
2590	3.3402271
2680	3.3152519
2770	3.2909983
2860	3.2666127
2950	3.2394883
3040	3.2055686
3130	3.1541716
3220	3.0740147
3310	2.9864497
3400	2.8867421
3490	2.7187934
3580	2.3684383
3600	3.0689864
3660	3.3199633
3660	3.3199633
3680	3.3539093
3700	3.3817282
3740	3.4296042
3820	3.5153783
3900	3.5888248
3980	3.6369264
4000	3.6454058
4080	3.6715406
4100	3.6769907
4180	3.6977016
4200	3.7028505
4280	3.723969
4360	3.7461692
4400	3.7576442
4480	3.7810585
4560	3.8045506
4640	3.8275875
4730	3.8529933
4800	3.8726989
4890	3.8982367
4900	3.9010737
4990	3.9263301
5000	3.9290811
5090	3.9531715
5100	3.9557797
5190	3.978824
5200	3.9813368
5290	4.0034572
5300	4.0058611
5390	4.0271019
5400	4.0294291
5490	4.0503133
5500	4.0526413
5590	4.073929
5600	4.076345
5690	4.09878
5700	4.101359
5790	4.1254862
5800	4.1282694
5890	4.1541771
5900	4.1571347
5990	4.1840526
6000	4.1870348
6090	4.2129524
