r(x_rel=0.5)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	29866	29739.091	29144.696	27696.623	24760.473	23201.303	21521.212	19962.623	18509.993	15472.529	14661.014	13817.189	12942.893	12054.309	11179.763	2271.257	1956.3441	3892.1774	4644.7572	5370.7915	6846.4157	9883.8321	10594.072	11285.594	11966.414	12645.225	13333.436	14044.435	14789.131	15574.164	16402.994	17273.861	18167.003	19030.299	19734.575
0.20206897	29866	29735.639	29138.936	27690.57	24754.329	23194.551	21514.292	19956.612	18503.969	15465.964	14654.194	13810.086	12935.572	12046.973	11172.674	2265.1598	1953.4982	3898.5326	4650.8168	5376.7155	6852.7047	9889.7796	10599.836	11291.237	11972.002	12650.836	13339.18	14050.422	14795.433	15580.818	16410.018	17281.206	18174.386	19037.149	19740.64
0.40413793	29866	29732.164	29133.174	27684.516	24748.184	23187.796	21507.374	19950.603	18497.944	15459.399	14647.373	13802.981	12928.251	12039.637	11165.586	2259.069	1950.6874	3904.8865	4656.8753	5382.6394	6858.9948	9895.7262	10605.6	11296.879	11977.591	12656.448	13344.926	14056.411	14801.735	15587.474	16417.043	17288.552	18181.767	19043.995	19746.701
0.6062069	29866	29727.251	29125.101	27676.042	24739.58	23178.336	21497.693	19942.191	18489.508	15450.205	14637.821	13793.033	12918	12029.369	11155.667	2250.5554	1946.8273	3913.7793	4665.355	5390.9329	6867.8031	9904.0495	10613.668	11304.778	11985.414	12664.305	13352.971	14064.798	14810.562	15596.795	16426.882	17298.839	18192.1	19053.572	19755.178
0.80827586	29866	29720.649	29114.383	27664.801	24728.164	23165.78	21484.856	19931.037	18478.315	15438.006	14625.145	13779.831	12904.399	12015.748	11142.514	2239.2864	1941.8412	3925.5712	4676.5994	5401.9345	6879.4916	9915.0871	10624.367	11315.255	11995.791	12674.729	13363.647	14075.928	14822.277	15609.165	16439.94	17312.488	18205.803	19066.263	19766.408
1.0103448	29866	29712.222	29100.903	27650.678	24713.817	23149.995	21468.738	19917.03	18464.248	15422.673	14609.213	13763.237	12887.308	11998.639	11125.998	2225.1677	1935.7943	3940.3792	4690.7206	5415.757	6894.1835	9928.9493	10637.806	11328.415	12008.829	12687.828	13377.065	14089.919	14837.003	15624.717	16456.355	17329.644	18223.014	19082.186	19780.496
1.2124138	29866	29701.852	29084.602	27633.623	24696.484	23130.912	21449.286	19900.121	18447.253	15404.146	14589.959	13743.185	12866.66	11977.979	11106.064	2208.1758	1928.8169	3958.2531	4707.7665	5432.4518	6911.9374	9945.6838	10654.032	11344.308	12024.575	12703.65	13393.279	14106.828	14854.802	15643.513	16476.195	17350.375	18243.794	19101.387	19797.478
1.4144828	29866	29689.422	29065.44	27613.606	24676.133	23108.494	21426.478	19880.287	18427.299	15382.389	14567.347	13719.635	12842.418	11953.737	11082.687	2188.3193	1921.0896	3979.2163	4727.7602	5452.0469	6932.7879	9965.3139	10673.069	11362.957	12043.056	12722.226	13412.318	14126.689	14875.71	15665.593	16499.499	17374.719	18268.172	19123.878	19817.364
1.6165517	29866	29674.807	29043.391	27590.613	24652.742	23082.709	21400.304	19857.518	18404.365	15357.378	14541.349	13692.562	12814.558	11925.896	11055.855	2165.6282	1912.84	4003.2794	4750.7122	5474.5592	6956.7586	9987.8507	10694.928	11384.375	12064.285	12743.571	13434.205	14149.526	14899.753	15690.984	16526.298	17402.704	18296.162	19149.658	19840.148
1.8186207	29866	29657.875	29018.428	27564.633	24626.298	23053.533	21370.767	19831.807	18378.437	15329.095	14511.946	13661.945	12783.063	11894.447	11025.568	2140.1499	1904.3445	4030.4454	4776.6265	5500.0003	6983.8677	10013.299	10719.617	11408.572	12088.274	12767.698	13458.956	14175.357	14926.952	15719.709	16556.613	17434.35	18327.771	19178.713	19865.818
