r(x_rel=1)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	29866	29687.713	28799.085	26506.77	21881.102	20112.481	18636.258	16928.412	14875.316	11041.726	10333.356	9724.9754	9189.1667	8695.8071	8214.9313	2124.7551	1875.0688	4414.6702	5479.6913	6654.8978	8860.9909	13025.336	14314.165	15699.419	17120.395	18464.18	19608.069	20548.17	21392.758	22234.483	23109.882	24024.899	24974.765	25951.678	26847.028
0.20206897	29866	29682.782	28790.215	26497.004	21872.536	20106.27	18630.046	16920.51	14866.456	11035.435	10327.98	9720.3223	9184.9862	8691.8516	8210.9529	2119.5405	1873.0461	4422.8189	5489.0771	6664.8368	8869.2078	13035.496	14325.283	15711.158	17132.087	18474.63	19616.495	20555.263	21399.584	22241.535	23117.272	24032.607	24982.731	25959.831	26855.291
0.40413793	29866	29677.817	28781.341	26487.238	21863.976	20100.062	18623.831	16912.605	14857.596	11029.147	10322.608	9715.6718	9180.8071	8687.8964	8206.9738	2114.329	1871.0601	4430.9713	5498.4688	6674.7749	8877.4211	13045.662	14336.404	15722.899	17143.777	18485.073	19624.913	20562.354	21406.41	22248.587	23124.664	24040.316	24990.698	25967.986	26863.555
0.6062069	29866	29670.792	28768.905	26473.564	21852.003	20091.377	18615.124	16901.529	14845.192	11020.353	10315.094	9709.1662	9174.9594	8682.3602	8201.4018	2107.0397	1868.3583	4442.3927	5511.6299	6688.6859	8888.9119	13059.903	14351.982	15739.339	17160.138	18499.674	19636.68	20572.275	21415.969	22258.464	23135.015	24051.111	25001.853	25979.403	26875.126
0.80827586	29866	29661.345	28752.387	26455.426	21836.139	20079.869	18603.564	16886.822	14828.738	11008.704	10305.139	9700.5457	9167.2076	8675.0177	8194.0079	2097.383	1864.9154	4457.558	5529.1107	6707.1352	8904.1411	13078.812	14372.659	15761.154	17181.834	18519.014	19652.257	20585.425	21428.65	22271.571	23148.752	24065.436	25016.654	25994.55	26890.476
1.0103448	29866	29649.273	28731.603	26432.635	21816.24	20065.431	18589.024	16868.321	14808.065	10994.092	10292.653	9689.7296	9157.4766	8665.7951	8184.7142	2085.2715	1860.8183	4476.6352	5551.1091	6730.3082	8923.2537	13102.598	14398.659	15788.573	17209.08	18543.262	19671.779	20601.93	21444.587	22288.048	23166.02	24083.442	25035.256	26013.586	26909.764
1.2124138	29866	29634.399	28706.452	26405.107	21792.253	20048.021	18571.437	16845.943	14783.096	10976.481	10277.603	9676.6878	9145.736	8654.6597	8173.4837	2070.6771	1856.2128	4499.7118	5577.7302	6758.2855	8946.3062	13131.368	14430.092	15821.702	17241.967	18572.477	19695.284	20621.842	21463.839	22307.96	23186.889	24105.199	25057.731	26036.582	26933.063
1.4144828	29866	29616.542	28676.87	26372.795	21764.165	20027.626	18550.762	16819.631	14753.789	10955.862	10259.981	9661.4106	9131.9731	8641.5948	8160.2942	2053.5983	1851.2941	4526.847	5609.0464	6791.1062	8973.3194	13165.192	14467.028	15860.605	17280.538	18606.664	19722.77	20645.18	21486.444	22331.349	23211.4	24130.751	25084.121	26063.581	26960.414
1.6165517	29866	29595.508	28642.801	26335.671	21731.984	20004.247	18526.964	16789.341	14720.122	10932.242	10239.794	9643.8993	9116.1843	8626.5917	8145.1306	2034.0514	1846.306	4558.0897	5645.1171	6828.7889	9004.2963	13204.128	14509.517	15905.323	17324.811	18645.803	19754.214	20671.951	21512.422	22358.241	23239.582	24160.124	25114.454	26094.608	26991.841
1.8186207	29866	29571.093	28604.198	26293.715	21695.733	19977.894	18500.012	16755.033	14682.078	10905.637	10217.053	9624.1616	9098.371	8609.6455	8127.9807	2012.0678	1841.5438	4593.4858	5685.9966	6871.3396	9039.2291	13248.224	14557.603	15955.888	17374.789	18689.854	19789.577	20702.15	21541.79	22388.66	23271.458	24193.343	25148.751	26129.682	27027.363
2.0206897	29866	29543.078	28561.014	26246.916	21655.444	19948.579	18469.877	16716.67	14639.648	10876.071	10191.779	9602.21	9078.5382	8590.7536	8108.8337	1987.6955	1837.3582	4633.0825	5731.7378	6918.7554	9078.1032	13297.529	14611.325	16012.324	17430.466	18738.763	19828.81	20735.772	21574.564	22422.625	23307.049	24230.424	25187.027	26168.818	27066.992
2.2227586	29866	29511.237	28513.206	26195.261	21611.157	19916.322	18436.528	16674.212	14592.826	10843.573	10163.996	9578.0601	9056.6931	8569.9152	8087.6795	1961.0017	1834.1598	4676.9305	5782.3937	6971.0267	9120.8989	13352.091	14670.72	16074.654	17491.828	18792.463	19871.854	20772.803	21610.753	22460.154	23346.372	24271.385	25229.298	26212.028	27110.739
2.4248276	29866	29475.34	28460.727	26138.743	21562.924	19881.144	18399.933	16627.62	14541.609	10808.178	10133.732	9551.7307	9032.8449	8547.13	8064.5078	1932.078	1832.4243	4725.0853	5838.0181	7028.1372	9167.593	13411.96	14735.827	16142.896	17558.851	18850.875	19918.645	20813.231	21650.37	22501.266	23389.447	24316.242	25275.577	26259.323	27158.611
2.6268966	29866	29435.153	28403.534	26077.354	21510.8	19843.065	18360.057	16576.852	14485.997	10769.926	10101.018	9523.2429	9007.0041	8522.3984	8039.3075	1901.0471	1832.6982	4777.6089	5898.6658	7090.0642	9218.1596	13477.189	14806.684	16217.07	17631.508	18913.909	19969.111	20857.041	21693.427	22545.978	23436.29	24365.01	25325.877	26310.713	27210.616
2.8289655	29866	29390.443	28341.582	26011.09	21454.852	19802.111	18316.863	16521.866	14425.989	10728.858	10065.889	9492.6199	8979.1826	8495.7211	8012.0673	1868.0723	1835.603	4834.5702	5964.392	7156.7788	9272.5708	13547.83	14883.33	16297.193	17709.764	18981.464	20023.178	20904.218	21739.936	22594.311	23486.92	24417.706	25380.21	26366.208	27266.762
3.0310345	29866	29340.984	28274.829	25939.945	21395.151	19758.305	18270.311	16462.615	14361.59	10685.022	10028.383	9459.8867	8949.3929	8467.0988	7982.7743	1833.3693	1841.8399	4896.0464	6035.2523	7228.245	9330.7974	13623.943	14965.805	16383.28	17793.576	19053.427	20080.766	20954.747	21789.908	22646.283	23541.356	24474.346	25438.59	26425.816	27327.055
3.2331034	29866	29286.553	28203.231	25863.912	21331.778	19711.671	18220.358	16399.052	14292.805	10638.469	9988.5399	9425.07	8917.6485	8436.5318	7951.4147	1797.2223	1852.1915	4962.1232	6111.3016	7304.4196	9392.8095	13705.587	15054.152	16475.347	17882.893	19129.673	20141.794	21008.613	21843.358	22701.916	23599.618	24534.945	25501.029	26489.547	27391.5
