x	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	0.092020002	0.16707742	0.16289522	0.15826723	0.15463363	0.15832562	0.16809259	0.18430642	0.18956512	0.19443772	0.19704951	0.20061266	0.20555164	0.21269062	0.22328137	0.5518163	0.38355271	0.15084552	0.1349145	0.12579989	0.10625647	0.066108514	0.061902895	0.059370463	0.057594737	0.055541028	0.053039894	0.050388687	0.047723321	0.045041228	0.042278874	0.039336366	0.036054773	0.032134387	0.027570439
2.937931	0.092020002	0.16707677	0.16289456	0.15826658	0.15463297	0.15832496	0.16809193	0.18430577	0.18956447	0.19443707	0.19704886	0.20061201	0.20555099	0.21268996	0.22328072	0.55181695	0.38355337	0.15084617	0.13491516	0.12580055	0.10625713	0.06610917	0.061903551	0.05937112	0.057595394	0.055541685	0.053040551	0.050389343	0.047723977	0.045041883	0.042279529	0.039337021	0.036055428	0.03213504	0.027571092
5.8758621	0.092020002	0.16707613	0.16289392	0.15826594	0.15463234	0.15832433	0.16809131	0.18430513	0.18956383	0.19443643	0.19704823	0.20061138	0.20555037	0.21268934	0.2232801	0.55181758	0.383554	0.15084681	0.13491579	0.12580118	0.10625776	0.066109807	0.06190419	0.05937176	0.057596035	0.055542325	0.053041191	0.050389983	0.047724616	0.045042521	0.042280165	0.039337655	0.03605606	0.032135671	0.02757172
8.8137931	0.092020002	0.16707551	0.1628933	0.15826532	0.15463172	0.15832372	0.1680907	0.18430452	0.18956321	0.19443582	0.19704762	0.20061077	0.20554976	0.21268875	0.22327951	0.55181819	0.38355462	0.15084742	0.13491642	0.12580181	0.10625838	0.066110426	0.061904811	0.059372383	0.057596659	0.055542949	0.053041815	0.050390605	0.047725236	0.045043139	0.042280781	0.039338269	0.036056671	0.032136278	0.027572325
11.751724	0.092020002	0.16707491	0.1628927	0.15826471	0.15463112	0.15832313	0.16809013	0.18430393	0.18956261	0.19443523	0.19704703	0.20061019	0.20554919	0.21268818	0.22327895	0.55181878	0.38355522	0.15084802	0.13491702	0.12580241	0.10625897	0.066111026	0.061905415	0.059372989	0.057597267	0.055543557	0.053042421	0.050391209	0.047725838	0.045043738	0.042281377	0.039338861	0.036057259	0.032136861	0.027572905
14.689655	0.092020002	0.16707433	0.16289212	0.15826413	0.15463053	0.15832256	0.16808958	0.18430336	0.18956203	0.19443465	0.19704646	0.20060963	0.20554864	0.21268764	0.22327841	0.55181934	0.3835558	0.1508486	0.1349176	0.12580299	0.10625954	0.066111607	0.061906	0.059373578	0.057597858	0.055544148	0.05304301	0.050391796	0.047726422	0.045044318	0.042281953	0.039339432	0.036057825	0.032137421	0.02757346
17.627586	0.092020002	0.16707376	0.16289155	0.15826356	0.15462997	0.15832201	0.16808905	0.18430281	0.18956147	0.1944341	0.19704592	0.20060909	0.20554812	0.21268713	0.22327791	0.55181988	0.38355636	0.15084916	0.13491817	0.12580356	0.1062601	0.066112169	0.061906568	0.05937415	0.057598432	0.055544722	0.053043583	0.050392365	0.047726987	0.045044879	0.042282509	0.039339982	0.036058368	0.032137957	0.027573991
20.565517	0.092020002	0.16707322	0.16289101	0.15826301	0.15462943	0.15832149	0.16808855	0.18430228	0.18956093	0.19443357	0.1970454	0.20060858	0.20554762	0.21268665	0.22327744	0.5518204	0.3835569	0.1508497	0.13491872	0.12580411	0.10626063	0.066112713	0.061907118	0.059374705	0.057598989	0.055545279	0.053044137	0.050392916	0.047727533	0.04504542	0.042283044	0.03934051	0.036058888	0.032138468	0.027574497
23.503448	0.092020002	0.16707269	0.16289048	0.15826248	0.1546289	0.15832099	0.16808807	0.18430178	0.1895604	0.19443306	0.1970449	0.2006081	0.20554715	0.21268619	0.223277	0.5518209	0.38355742	0.15085022	0.13491925	0.12580464	0.10626114	0.066113237	0.06190765	0.059375242	0.057599529	0.055545819	0.053044674	0.050393448	0.04772806	0.045045941	0.042283558	0.039341016	0.036059384	0.032138955	0.02757498
26.441379	0.092020002	0.16707219	0.16288997	0.15826197	0.1546284	0.15832051	0.16808762	0.18430129	0.1895599	0.19443258	0.19704442	0.20060764	0.20554671	0.21268577	0.22327658	0.55182137	0.38355792	0.15085072	0.13491976	0.12580515	0.10626163	0.066113743	0.061908164	0.059375761	0.057600052	0.055546341	0.053045193	0.050393962	0.047728568	0.045046441	0.04228405	0.039341499	0.036059857	0.032139417	0.027575439
