r(x_rel=0)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	29866	29750.771	29228.648	28001.309	25560.031	24274.587	22801.271	21142.615	19637.968	17012.519	16321.544	15593.087	14813.763	13969.592	13049.614	2457.3863	2046.0912	3785.9914	4485.2408	5134.5719	6392.7032	9173.4598	9837.0177	10463.699	11059.429	11634.852	12202.532	12774.959	13361.634	13968.656	14600.34	15260.602	15953.813	16685.306	17380.669
0.20206897	29866	29747.659	29223.683	27996.235	25554.957	24269.013	22794.656	21135.782	19632.336	17006.953	16315.715	15586.893	14807.092	13962.327	13041.694	2449.6015	2042.7283	3792.0551	4490.8043	5139.7277	6398.0375	9179.0966	9842.3341	10468.719	11064.234	11639.539	12207.21	12779.724	13366.548	13973.759	14605.662	15266.176	15959.679	16691.512	17387.212
0.40413793	29866	29744.528	29218.715	27991.161	25549.883	24263.438	22788.038	21128.951	19626.707	17001.385	16309.884	15580.698	14800.42	13955.061	13033.772	2441.827	2039.4121	3798.1165	4496.3655	5144.8824	6403.3734	9184.732	9847.6491	10473.739	11069.039	11644.226	12211.889	12784.491	13371.463	13978.862	14610.985	15271.751	15965.547	16697.721	17393.757
0.6062069	29866	29740.102	29211.758	27984.059	25542.779	24255.63	22778.768	21119.392	19618.83	16993.589	16301.718	15572.022	14791.073	13944.881	13022.675	2430.9651	2034.8689	3806.5975	4504.1464	5152.0967	6410.8467	9192.6187	9855.0873	10480.764	11075.763	11650.787	12218.44	12791.164	13378.346	13986.008	14618.439	15279.559	15973.764	16706.415	17402.924
0.80827586	29866	29734.157	29202.524	27974.637	25533.353	24245.265	22766.461	21106.719	19608.389	16983.244	16290.881	15560.506	14778.666	13931.368	13007.944	2416.5971	2029.0197	3817.8392	4514.4597	5161.6625	6420.7659	9203.0755	9864.9491	10490.08	11084.681	11659.489	12227.13	12800.019	13387.479	13995.491	14628.331	15289.921	15984.669	16717.954	17415.089
1.0103448	29866	29726.572	29190.914	27962.802	25521.507	24232.233	22750.984	21090.81	19595.282	16970.241	16277.257	15546.026	14763.065	13914.374	12989.419	2398.6128	2021.9552	3831.9496	4527.4039	5173.6747	6433.2375	9216.2054	9877.3312	10501.777	11095.881	11670.42	12238.05	12811.148	13398.958	14007.41	14640.765	15302.947	15998.378	16732.461	17430.384
1.2124138	29866	29717.245	29176.879	27948.51	25507.197	24216.477	22732.269	21071.614	19579.468	16954.528	16260.791	15528.522	14744.202	13893.824	12967.022	2376.9955	2013.8447	3848.9718	4543.0179	5188.1736	6448.314	9232.0515	9892.2742	10515.895	11109.403	11683.621	12251.241	12824.594	13412.828	14021.814	14655.791	15318.688	16014.948	16749.996	17448.87
1.4144828	29866	29706.073	29160.389	27931.737	25490.396	24197.965	22710.272	21049.111	19560.931	16936.075	16241.449	15507.957	14722.035	13869.672	12940.7	2351.7756	2004.9159	3868.9228	4561.3166	5205.1783	6466.0278	9250.6333	9909.796	10532.453	11125.264	11699.112	12266.725	12840.381	13429.116	14038.73	14673.44	15337.178	16034.412	16770.596	17470.587
1.6165517	29866	29692.949	29141.424	27912.472	25471.087	24176.67	22684.962	21023.295	19539.666	16914.86	16219.207	15484.302	14696.532	13841.881	12910.417	2323.0165	1995.4493	3891.8063	4582.3022	5224.6976	6486.4028	9271.9584	9929.9034	10551.458	11143.475	11716.905	12284.518	12858.528	13447.841	14058.177	14693.731	15358.439	16056.794	16794.287	17495.562
1.8186207	29866	29677.76	29119.966	27890.707	25449.258	24152.57	22656.308	20994.171	19515.673	16890.868	16194.046	15457.534	14667.665	13810.42	12876.14	2290.811	1985.7761	3917.6181	4605.9697	5246.7345	6509.4591	9296.0276	9952.5969	10572.911	11164.04	11737.006	12304.629	12879.045	13469.015	14080.172	14716.681	15382.487	16082.113	16821.09	17523.817
2.0206897	29866	29660.39	29096.001	27866.438	25424.9	24125.646	22624.283	20961.748	19488.96	16864.085	16165.947	15427.633	14635.41	13775.258	12837.838	2255.2827	1976.2781	3946.3487	4632.3086	5271.2889	6535.2152	9322.8374	9977.8727	10596.812	11186.959	11759.42	12327.066	12901.943	13492.65	14104.726	14742.304	15409.339	16110.388	16851.025	17555.374
2.2227586	29866	29640.723	29069.515	27839.66	25398.003	24095.877	22588.861	20926.042	19459.536	16834.497	16134.895	15394.576	14599.739	13736.366	12795.482	2216.5889	1967.3868	3977.9843	4661.305	5298.3584	6563.689	9352.3809	10005.724	10623.156	11212.232	11784.149	12351.835	12927.231	13518.758	14131.851	14770.614	15439.009	16141.635	16884.111	17590.251
2.4248276	29866	29618.64	29040.497	27810.374	25368.56	24063.243	22550.015	20887.073	19427.413	16802.091	16100.873	15358.344	14560.628	13693.713	12749.041	2174.9259	1959.5826	4012.508	4692.9413	5327.9394	6594.8989	9384.6485	10036.142	10651.937	11239.855	11811.194	12378.942	12954.917	13547.348	14161.559	14801.622	15471.513	16175.87	16920.367	17628.467
2.6268966	29866	29594.029	29008.934	27778.579	25336.563	24027.722	22507.715	20844.867	19392.603	16766.856	16063.863	15318.913	14518.048	13647.266	12698.484	2130.5354	1953.3929	4049.8999	4727.1975	5360.0275	6628.8639	9419.6287	10069.115	10683.146	11269.824	11840.557	12408.393	12985.01	13578.43	14193.862	14835.344	15506.864	16213.11	16959.811	17670.041
2.8289655	29866	29566.78	28974.818	27744.274	25302.004	23989.293	22461.931	20799.453	19355.121	16728.779	16023.848	15276.262	14471.971	13596.993	12643.779	2083.7129	1949.3882	4090.1372	4764.0512	5394.6179	6665.6038	9457.3078	10104.63	10716.774	11302.134	11872.237	12440.191	13017.517	13612.015	14228.772	14871.79	15545.077	16253.373	17002.465	17714.995
3.0310345	29866	29536.789	28938.138	27707.462	25264.876	23947.931	22412.632	20750.864	19314.982	16687.844	15980.809	15230.365	14422.366	13542.855	12584.891	2034.8182	1948.176	4133.1946	4803.4777	5431.7059	6705.1398	9497.6706	10142.674	10752.812	11336.78	11906.234	12474.343	13052.448	13648.113	14266.299	14910.976	15586.169	16296.676	17048.348	17763.348
3.2331034	29866	29503.964	28898.885	27668.142	25225.168	23903.61	22359.786	20699.138	19272.202	16644.038	15934.727	15181.196	14369.2	13484.816	12521.787	1984.2885	1950.3929	4179.044	4845.4507	5471.2873	6747.4941	9540.7002	10183.231	10791.248	11373.755	11942.548	12510.854	13089.812	13686.736	14306.459	14952.917	15630.156	16343.039	17097.484	17815.123
3.4351724	29866	29468.216	28857.053	27626.316	25182.873	23856.303	22303.357	20644.319	19226.797	16597.346	15885.579	15128.728	14312.439	13422.834	12454.427	1932.6544	1956.6915	4227.6545	4889.9419	5513.3584	6792.6903	9586.378	10226.284	10832.069	11413.052	11981.179	12549.729	13129.617	13727.894	14349.263	14997.626	15677.056	16392.483	17149.896	17870.342
3.6372414	29866	29429.468	28812.635	27581.986	25137.979	23805.98	22243.31	20586.453	19178.783	16547.751	15833.344	15072.931	14252.044	13356.866	12382.775	1880.562	1967.7245	4278.9926	4936.9221	5557.9165	6840.7537	9634.6841	10271.814	10875.263	11454.664	12022.126	12590.975	13171.873	13771.601	14394.726	15045.121	15726.886	16445.029	17205.608	17929.029
3.8393103	29866	29387.65	28765.626	27535.154	25090.476	23752.61	22179.607	20525.593	19128.175	16495.235	15777.997	15013.774	14187.976	13286.866	12306.791	1828.7986	1984.1231	4333.0217	4986.3605	5604.9601	6891.7105	9685.5973	10319.804	10920.816	11498.583	12065.389	12634.598	13216.592	13817.868	14442.864	15095.419	15779.668	16500.699	17264.648	17991.208
4.0413793	29866	29342.701	28716.022	27485.822	25040.353	23696.158	22112.211	20461.797	19074.988	16439.78	15719.513	14951.222	14120.194	13212.786	12226.432	1778.3292	2006.4697	4389.702	5038.2258	5654.4892	6945.5889	9739.0946	10370.233	10968.714	11544.802	12110.97	12680.606	13263.783	13866.71	14493.69	15148.536	15835.42	16559.518	17327.042	18056.906
4.2434483	29866	29294.567	28663.821	27433.992	24987.596	23636.589	22041.08	20395.126	19019.237	16381.365	15657.864	14885.241	14048.652	13134.575	12141.658	1730.341	2035.2655	4448.9907	5092.4863	5706.5055	7002.4181	9795.1522	10423.08	11018.942	11593.312	12158.869	12729.005	13313.459	13918.141	14547.223	15204.494	15894.166	16621.512	17392.821	18126.149
4.4455172	29866	29243.206	28609.022	27379.665	24932.19	23573.865	21966.176	20325.649	18960.937	16319.971	15593.021	14815.792	13973.303	13052.178	12052.425	1686.3043	2070.8923	4510.8414	5149.1099	5761.0127	7062.2289	9853.7446	10478.323	11071.486	11644.105	12209.087	12779.806	13365.632	13972.176	14603.48	15263.31	15955.928	16686.707	17462.014	18198.964
4.6475862	29866	29188.585	28551.626	27322.844	24874.121	23507.943	21887.457	20253.436	18900.098	16255.572	15524.954	14742.836	13894.097	12965.54	11958.689	1648.0506	2113.571	4575.2043	5208.0652	5818.0168	7125.0535	9914.8454	10535.94	11126.329	11697.175	12261.626	12833.016	13420.315	14028.831	14662.479	15325.006	16020.73	16755.131	17534.656	18275.38
4.8496552	29866	29130.682	28491.634	27263.532	24813.37	23438.781	21804.883	20178.566	18836.733	16188.147	15453.629	14666.328	13810.98	12874.6	11860.407	1617.876	2163.3202	4642.0262	5269.3215	5877.526	7190.9251	9978.4269	10595.908	11183.456	11752.512	12316.49	12888.645	13477.522	14088.123	14724.239	15389.605	16088.598	16826.816	17610.779	18355.425
5.0517241	29866	29069.49	28429.05	27201.73	24749.92	23366.331	21718.414	20101.118	18770.852	16117.667	15379.012	14586.224	13723.896	12779.296	11757.534	1598.6766	2219.921	4711.2501	5332.8495	5939.5514	7259.8781	10044.46	10658.203	11242.851	11810.109	12373.68	12946.705	13537.268	14150.069	14788.78	15457.129	16159.558	16901.791	17690.421	18439.13
5.2537931	29866	29005.018	28363.879	27137.441	24683.75	23290.546	21628.011	20021.177	18702.464	16044.107	15301.066	14502.476	13632.786	12679.564	11650.026	1594.1251	2282.9009	4782.8159	5398.6222	6004.1063	7331.9479	10112.915	10722.8	11304.497	11869.96	12433.203	13007.206	13599.569	14214.688	14856.124	15527.603	16233.639	16980.091	17773.618	18526.523
5.4558621	29866	28937.287	28296.128	27070.667	24614.837	23211.371	21533.638	19938.827	18631.576	15967.436	15219.75	14415.034	13537.587	12575.336	11537.843	1608.9017	2351.5536	4856.66	5466.6151	6071.2073	7407.1704	10183.76	10789.675	11368.379	11932.057	12495.062	13070.161	13664.441	14282	14926.294	15601.053	16310.871	17061.751	17860.41	18617.636
5.657931	29866	28866.333	28225.804	27001.41	24543.156	23128.752	21435.263	19854.157	18558.194	15887.624	15135.025	14323.843	13438.234	12466.543	11420.942	1648.9927	2425.0239	4932.716	5536.8079	6140.8734	7485.5816	10256.964	10858.802	11434.479	11996.394	12559.265	13135.584	13731.9	14352.024	14999.312	15677.504	16391.284	17146.806	17950.837	18712.499
5.86	29866	28792.227	28152.933	26929.689	24468.699	23042.653	21332.882	19767.269	18482.34	15804.657	15046.867	14228.87	13334.684	12353.14	11299.318	1721.9665	2502.4838	5010.8983	5609.1686	6213.1096	7567.1974	10332.475	10930.142	11502.767	12062.952	12625.802	13203.472	13801.95	14424.765	15075.185	15756.967	16474.891	17235.275	18044.919	18811.117
