r(x_rel=0.5)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	17038	17038.004	17039.808	17191.56	19041.053	20587.685	22339.687	24203.475	26131.588	30077.136	31070.032	32063.472	33057.175	34051.16	35045.553	46027.06	46628.057	49638.628	50099.979	50268.384	49847.164	47236.301	46395.626	45513.205	44599.641	43662.654	42708.291	41741.311	40765.379	39783.17	38796.471	37806.337	36813.319	35817.722	34919.701
0.18	17038	17038.006	17040.2	17201.537	19079.335	20633.064	22388.919	24254.896	26184.284	30130.737	31123.671	32117.126	33110.842	34104.845	35099.264	46081.145	46682.151	49671.209	50116.418	50268.84	49824.088	47192.01	46348.834	45464.523	44549.53	43611.475	42656.329	41688.789	40712.464	39729.981	38743.079	37752.78	36759.617	35763.888	34865.761
0.36	17038	17038.009	17040.625	17211.729	19117.741	20678.51	22438.188	24306.339	26236.992	30184.34	31177.31	32170.781	33164.51	34158.531	35152.977	46135.23	46736.245	49703.369	50132.396	50268.895	49800.775	47147.642	46301.984	45415.797	44499.386	43560.272	42604.349	41636.254	40659.542	39676.785	38689.681	37699.219	36705.912	35710.051	34811.819
0.54	17038	17038.013	17041.295	17226.457	19171.774	20742.277	22507.245	24378.405	26310.811	30259.387	31252.407	32245.899	33239.645	34233.692	35228.176	46210.952	46811.975	49747.49	50153.784	50268.122	49767.636	47085.367	46236.272	45347.488	44429.115	43488.535	42531.54	41562.68	40585.432	39602.298	38614.915	37624.225	36630.716	35634.671	34736.294
0.72	17038	17038.02	17042.327	17246.816	19243.915	20827.117	22598.989	24474.086	26408.779	30358.943	31352.027	32345.545	33339.315	34333.399	35327.933	46311.402	46912.432	49804.402	50180.422	50265.601	49722.796	47002.474	46148.889	45256.712	44335.775	43393.284	42434.892	41465.035	40487.09	39503.466	38515.717	37524.727	36530.952	35534.665	34636.096
0.9	17038	17038.034	17043.878	17273.718	19335.282	20934.106	22714.477	24594.428	26531.94	30484.035	31477.193	32470.744	33464.544	34458.674	35453.274	46437.612	47038.642	49873.302	50211.132	50260.076	49665.074	46897.882	46038.762	45142.403	44218.311	43273.467	42313.359	41342.281	40363.483	39379.257	38391.056	37399.694	36405.586	35408.995	34510.189
1.08	17038	17038.059	17046.17	17308.175	19446.691	21063.897	22854.281	24739.965	26680.797	30635.131	31628.372	32621.96	33615.799	34609.987	35604.667	46590.055	47191.067	49952.632	50244.182	50249.975	49593.351	46770.91	45905.262	45003.971	44076.159	43128.548	42166.424	41193.917	40214.12	39229.185	38240.45	37248.644	36254.137	35257.184	34358.096
1.26	17038	17038.103	17049.525	17351.377	19578.889	21217.01	23018.802	24911.036	26855.653	30812.485	31805.816	32799.446	33793.331	34787.591	35782.368	46768.986	47369.948	50040.269	50277.394	50233.437	49506.437	46621.003	45747.906	44840.988	43908.936	42958.176	41993.767	41019.641	40038.714	39052.976	38063.629	37071.307	36076.336	35078.963	34179.55
1.44	17038	17038.184	17054.394	17404.714	19732.626	21393.92	23208.373	25107.903	27056.718	31016.254	32009.676	33003.353	33997.295	34991.64	35986.531	46974.561	47575.414	50133.578	50308.199	50208.335	49403.036	46447.639	45566.261	44653.089	43716.331	42762.085	41795.152	40819.244	39837.075	38850.448	37860.416	36867.512	35872.012	34874.162	33974.385
1.62	17038	17038.33	17061.407	17469.791	19908.68	21595.092	23423.302	25330.785	27284.157	31246.539	32240.053	33233.78	34227.79	35222.236	36217.26	47206.884	47807.522	50229.428	50333.678	50172.308	49281.75	46250.3	45359.909	44439.934	43498.065	42540.043	41570.389	40592.565	39609.059	38621.47	37630.686	36637.134	35641.044	34642.663	33742.487
1.8	17038	17038.595	17071.424	17548.429	20107.861	21820.997	23663.884	25579.886	27538.108	31503.412	32497.014	33490.797	34484.886	35479.452	36474.63	47466.025	48066.275	50324.204	50350.598	50122.797	49141.082	46028.454	45128.432	44201.191	43253.873	42291.841	41319.307	40339.465	39354.55	38365.938	37374.341	36380.078	35383.338	34384.376	33483.771
1.98	17038	17039.075	17085.601	17642.666	20331.005	22072.111	23930.413	25855.4	27818.694	31786.925	32780.609	33774.454	34768.638	35763.343	36758.696	47752.038	48351.605	50413.829	50355.46	50057.083	48979.464	45781.558	44871.405	43936.528	42983.499	42017.279	41041.754	40059.824	39073.449	38083.764	37091.298	36096.264	35098.817	34099.228	33198.17
2.16	17038	17039.938	17105.46	17754.742	20578.965	22348.913	24223.181	26157.514	28126.029	32097.116	33090.876	34084.79	35079.086	36073.951	37069.502	48064.963	48663.358	50493.794	50344.552	49972.329	48795.273	45509.06	44588.402	43645.614	42686.688	41716.165	40737.586	39753.53	38765.665	37774.869	36781.485	35785.622	34787.414	33787.157	32885.63
2.34	17038	17041.481	17132.959	17887.085	20852.6	22651.886	24542.481	26486.412	28460.214	32434.015	33427.843	34421.836	35416.264	36411.313	37407.085	48404.828	49001.245	50559.213	50314.01	49865.624	48586.854	45210.4	44278.991	43328.122	42363.192	41388.315	40406.664	39420.483	38431.119	37439.184	36444.834	35448.088	34449.066	33448.107	32546.103
2.52	17038	17044.207	17170.566	18042.285	21152.764	22981.509	24888.604	26842.272	28821.345	32797.644	33791.533	34785.618	35780.2	36775.46	37771.479	48771.651	49364.77	50604.897	50259.886	49734.032	48352.546	44885.019	43942.744	42983.724	42012.768	41033.551	40048.863	39060.586	38069.734	37076.641	36081.282	35083.6	34083.718	33082.029	32179.552
2.7	17038	17048.967	17221.311	18223.056	21480.292	23338.251	25261.837	27225.269	29209.507	33188.019	34181.966	35176.16	36170.922	37166.42	38162.713	49165.433	49753.105	50625.45	50178.218	49574.635	48090.71	44532.363	43579.239	42612.104	41635.182	40651.705	39664.062	38673.753	37681.44	36687.176	35690.768	34692.099	33691.315	32688.878	31785.943
2.88	17038	17057.148	17288.814	18432.201	21835.99	23722.567	25662.462	27635.569	29624.775	33605.154	34599.158	35593.482	36588.455	37584.221	38580.814	49586.152	50164.904	50615.39	50065.102	49384.578	47799.745	44151.895	43188.068	42212.957	41230.214	40242.621	39252.152	38259.904	37266.171	36270.729	35273.231	34273.526	33271.804	32268.611	31365.251
3.06	17038	17070.95	17377.293	18672.554	22220.618	24134.892	26090.75	28073.33	30067.215	34049.058	35043.124	36037.605	37032.822	38028.888	39025.81	50033.739	50598.005	50569.276	49916.771	49161.121	47478.121	43743.095	42768.838	41785.994	40797.656	39806.157	38813.035	37818.966	36823.865	35827.238	34828.61	33827.823	32825.134	31821.19	30917.454
3.24	17038	17093.727	17491.524	18946.929	22634.885	24575.636	26546.962	28538.696	30536.876	34519.739	35513.88	36508.55	37504.047	38500.447	39497.725	50508.042	51048.995	50481.855	49729.653	48901.674	47124.395	43305.475	42321.183	41330.945	40337.321	39342.185	38346.626	37350.874	36354.463	35356.644	34356.844	33354.932	32351.257	31346.582	30442.54
3.42	17038	17130.372	17636.772	19258.049	23079.435	25045.18	27031.345	29031.799	31033.797	35017.205	36011.441	37006.339	38002.156	38998.924	39996.585	51008.749	51512.556	50348.196	49500.445	48603.843	46737.233	42838.578	41844.763	40847.57	39849.044	38850.597	37852.851	36855.572	35857.91	34858.886	33857.871	32854.796	31850.125	30844.758	29940.506
3.6	17038	17187.641	17818.689	19608.479	23554.84	25543.872	27544.126	29552.752	31557.996	35541.461	36535.823	37530.993	38527.173	39524.344	40522.416	51535.237	51980.563	50163.817	49226.161	48265.461	46315.43	42341.989	41339.273	40335.654	39332.683	38331.307	37331.652	36333.01	35334.151	34333.904	33331.628	32327.357	31321.694	30315.694	29411.359
3.78	17038	17274.274	18043.192	20000.553	24061.593	26072.026	28085.516	30101.648	32109.479	36092.514	37087.044	38082.538	39079.125	40076.735	41075.245	52086.286	52440.872	49924.789	48904.179	47884.627	45857.922	41815.341	40804.448	39795.017	38788.128	37784.246	36782.987	35783.147	34783.136	33781.635	32778.05	31772.557	30765.924	29759.376	28855.12
3.96	17038	17400.747	18316.321	20436.306	24600.102	26629.917	28655.701	30678.555	32688.226	36670.375	37665.125	38661	39658.041	40656.124	41655.096	52659.52	52875.835	49627.815	48532.288	47459.729	45363.804	41258.318	40240.067	39225.518	38215.298	37209.375	36206.825	35205.945	34204.81	33202.016	32197.072	31190.341	30182.778	29175.796	28271.825
4.14	17038	17578.564	18644.089	20917.404	25170.689	27217.782	29254.843	31283.518	33294.203	37275.055	38270.09	39266.407	40263.95	41262.539	42261.996	53250.309	53260.752	49270.273	48108.709	46989.463	44832.337	40670.662	39645.955	38627.056	37614.145	36606.673	35603.153	34601.372	33599.12	32594.977	31588.628	30580.657	29572.227	28564.959	27661.532
4.32	17038	17819.231	19032.309	21445.098	25773.585	27835.821	29883.078	31916.549	33927.352	37906.572	38901.967	39898.791	40896.883	41896.01	42895.973	53849.646	53562.777	48850.243	47632.119	46472.851	44262.953	40052.174	39021.99	37999.573	36984.657	35976.149	34971.967	33969.401	32966.009	31960.45	30952.649	29943.454	28934.249	27926.885	27024.32
4.5	17038	18133.24	19486.403	22020.18	26408.936	28484.196	30540.508	32577.63	34587.594	38564.946	39560.788	40558.187	41556.872	42556.567	43557.052	54439.996	53741.384	48366.506	47101.664	45909.247	43655.264	39402.723	38368.106	37343.058	36326.859	35317.831	34313.275	33310	32305.417	31298.36	30289.068	29278.686	28268.83	27261.607	26360.302
4.68	17038	18529.404	20011.156	22642.972	27076.802	29163.032	31227.204	33266.707	35274.831	39250.205	40246.589	41244.63	42243.952	43244.238	44245.261	54987.179	53752.198	47818.532	46516.955	45298.34	43009.056	38722.243	37684.293	36657.55	35640.809	34631.773	33627.095	32623.138	31617.275	30608.629	29597.821	28586.315	27575.972	26569.183	25669.627
4.86	17038	19014.454	20610.387	23313.328	27777.163	29872.42	31943.196	33983.688	35988.943	39962.382	40959.411	41958.16	42958.158	43959.055	44960.626	55424.527	53556.432	47206.453	45878.061	44640.15	42324.289	38010.739	36970.601	35943.135	34926.606	33918.047	32913.445	31908.777	30901.51	29891.175	28878.843	27866.311	26855.688	25849.694	24952.488
