x	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	0.00063583834	1.192109	1.1682258	1.1495112	1.1952079	1.3842614	1.6445754	1.3859824	1.2146136	1.3321951	1.4161943	1.5263215	1.6647464	1.8231424	1.9533038	-1.4598798	-1.2475146	-1.2471166	-1.1560905	-1.1574717	-1.3102267	-1.2066831	-1.140281	-1.0920671	-1.065153	-1.0657976	-1.0881308	-1.12317	-1.1665774	-1.2170022	-1.2747846	-1.3415233	-1.4198452	-1.5101763	-1.5823452
2.937931	0.00063583834	1.1931188	1.1693501	1.1507046	1.1965762	1.386006	1.6448672	1.3846551	1.2153794	1.3336069	1.4176904	1.5278544	1.6661063	1.8236052	1.9517909	-1.4598477	-1.248529	-1.2476574	-1.1568898	-1.1585208	-1.3112899	-1.2070096	-1.1407853	-1.0927494	-1.0659973	-1.0668116	-1.0893278	-1.1245535	-1.1681462	-1.2187562	-1.2767264	-1.3436528	-1.4221185	-1.5122754	-1.583073
5.8758621	0.00063583834	1.1961828	1.1727569	1.1543203	1.2007183	1.3912668	1.6455691	1.3807398	1.2177278	1.3378622	1.4221881	1.5324422	1.6701303	1.8249104	1.9471109	-1.4597704	-1.2515774	-1.2492883	-1.1593141	-1.1616995	-1.3144884	-1.2080083	-1.1423253	-1.0948255	-1.0685651	-1.0698912	-1.0929593	-1.1287475	-1.1728988	-1.2240664	-1.2826015	-1.3500897	-1.4289728	-1.5185263	-1.5849794
8.8137931	0.00063583834	1.2012942	1.1784327	1.160344	1.2076143	1.399984	1.6462217	1.374562	1.2217373	1.3449074	1.429608	1.5399552	1.6765861	1.8268291	1.9390252	-1.4596533	-1.2566338	-1.2520275	-1.1633846	-1.1670299	-1.3197894	-1.2097108	-1.144941	-1.0983381	-1.0728981	-1.0750791	-1.0990692	-1.1357973	-1.1808819	-1.2329812	-1.2924587	-1.3608757	-1.4404039	-1.5286837	-1.5871888
11.751724	0.00063583834	1.208442	1.1863563	1.1687527	1.2172324	1.4120565	1.64607	1.3666475	1.227525	1.3546546	1.4398178	1.5501744	1.6850809	1.8288731	1.9272064	-1.4594951	-1.2636554	-1.2558922	-1.1691413	-1.1745481	-1.3271435	-1.2121723	-1.148698	-1.1033583	-1.0790678	-1.0824476	-1.1077312	-1.1457788	-1.1921744	-1.2455817	-1.3063787	-1.3760771	-1.4563859	-1.5422526	-1.5881348
14.689655	0.00063583834	1.2176121	1.1965002	1.1795172	1.2295306	1.4273381	1.6441219	1.3576937	1.2352306	1.3669825	1.4526331	1.5627903	1.6950562	1.8299463	1.9110604	-1.4593206	-1.2725748	-1.260923	-1.1766407	-1.1843078	-1.3364727	-1.2154731	-1.1536933	-1.109986	-1.0871761	-1.092098	-1.1190491	-1.1587994	-1.2068872	-1.2619819	-1.3244737	-1.3957781	-1.476836	-1.5583325	-1.5854397
17.627586	0.00063583834	1.2287892	1.2088329	1.1926035	1.244459	1.445633	1.6392327	1.3485185	1.2449966	1.3817394	1.4678189	1.5773993	1.705783	1.8289467	1.889564	-1.4590949	-1.2832863	-1.2671507	-1.1859518	-1.1963756	-1.3476749	-1.2197161	-1.1600514	-1.1183525	-1.0973534	-1.1041624	-1.1331579	-1.1749979	-1.2251634	-1.282328	-1.3468844	-1.4200682	-1.5015453	-1.5753625	-1.5759394
20.565517	0.00063583834	1.2419577	1.223322	1.2079767	1.2619633	1.4666869	1.6302431	1.3399917	1.2569498	1.3987456	1.4850905	1.5935023	1.716367	1.8246346	1.8621381	-1.4588141	-1.2956827	-1.2746372	-1.197172	-1.2108293	-1.3606175	-1.2250344	-1.1679267	-1.128621	-1.109763	-1.1188043	-1.1502242	-1.1945457	-1.2471794	-1.3067989	-1.373777	-1.449018	-1.5300473	-1.5907275	-1.5560548
23.503448	0.00063583834	1.2571044	1.2399369	1.2256035	1.2819875	1.4901722	1.6161694	1.3329824	1.2711863	1.4177964	1.5041134	1.6105005	1.7257573	1.8157273	1.8284797	-1.4585002	-1.3096795	-1.2834454	-1.2104061	-1.2277629	-1.3751348	-1.2315907	-1.17751	-1.1409864	-1.1246004	-1.1362197	-1.1704471	-1.2176473	-1.2731453	-1.3356046	-1.405334	-1.4826306	-1.5613696	-1.6003043	-1.5228235
26.441379	0.00063583834	1.2742203	1.2586523	1.2454562	1.3044773	1.5156622	1.5963984	1.3282754	1.2877633	1.4386631	1.5245012	1.6276881	1.7327681	1.8010313	1.7886553	-1.4581949	-1.3251777	-1.2936657	-1.225793	-1.2472782	-1.3910241	-1.2395832	-1.189024	-1.1556812	-1.1420962	-1.1566387	-1.1940604	-1.244542	-1.3033045	-1.3689841	-1.4417379	-1.5207432	-1.593572	-1.5982872	-1.4755327
