x	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.937931	0	-6.0622454e-05	-6.5659765e-05	-6.5042128e-05	-6.7758817e-05	-8.3533448e-05	-0.00010737495	-8.6242827e-05	-7.0170634e-05	-7.95618e-05	-8.6994703e-05	-9.7035661e-05	-0.00010981469	-0.00011974914	-0.00012817449	-1.6779722e-05	4.7384537e-05	5.4265603e-05	4.9390943e-05	4.9191061e-05	5.7055796e-05	5.1904412e-05	4.857729e-05	4.6189018e-05	4.4846683e-05	4.4859738e-05	4.6084153e-05	4.8053905e-05	5.0469947e-05	5.3212581e-05	5.6261507e-05	5.9659077e-05	6.3485165e-05	6.7681575e-05	7.0740782e-05
5.8758621	0	-0.0002421401	-0.0002621227	-0.00025966698	-0.00027051314	-0.00033334234	-0.00042793711	-0.00034361504	-0.00028002156	-0.00031748014	-0.00034706823	-0.00038704047	-0.00043792177	-0.00048006819	-0.00051363884	-6.6459274e-05	0.00018948656	0.00021696385	0.00019751604	0.00019674045	0.00022815611	0.00020751609	0.000194241	0.00018471502	0.00017936587	0.00017943253	0.00018433993	0.00019222515	0.0002018928	0.00021286454	0.00022505922	0.00023864543	0.00025393774	0.00027067801	0.00028276778
8.8137931	0	-0.00054351698	-0.00058786176	-0.00058239119	-0.00060671697	-0.00074706671	-0.00095697481	-0.00076812175	-0.0006276012	-0.00071147533	-0.00077750278	-0.00086669797	-0.00098023967	-0.0010842061	-0.0011592446	-0.00014709218	0.00042615399	0.00048780133	0.00044423444	0.00044257861	0.00051310083	0.00046653331	0.00043678936	0.00041545725	0.00040349724	0.00040370124	0.0004147795	0.00043254457	0.00045430997	0.00047900096	0.00050643527	0.00053698891	0.00057135047	0.00060883987	0.00063547426
11.751724	0	-0.00096306865	-0.0010404034	-0.0010308115	-0.0010738605	-0.0013208285	-0.0016866097	-0.0013533571	-0.0011097601	-0.0012578236	-0.0013738264	-0.0015304754	-0.0017297937	-0.0019315702	-0.0020698498	-0.00025553963	0.00075714126	0.00086629696	0.00078931807	0.00078659503	0.00091155926	0.00082846265	0.00077589457	0.0007382219	0.00071714695	0.00071764368	0.00073742933	0.00076906987	0.0008077969	0.00085170374	0.00090046688	0.00095474605	0.0010157143	0.0010818997	0.0011277777
14.689655	0	-0.0014985238	-0.0016164331	-0.0016017065	-0.0016685705	-0.0020493417	-0.0026059141	-0.0020908886	-0.0017223037	-0.0019514867	-0.0021299378	-0.0023707037	-0.0026766559	-0.0029990139	-0.0032338734	-0.00038761651	0.0011821207	0.0013517936	0.0012324601	0.0012286454	0.0014230736	0.0012926327	0.0012111146	0.0011527525	0.0011201969	0.0011212411	0.0011523384	0.0012018938	0.0012624715	0.0013311003	0.0014072754	0.0014920083	0.0015870197	0.0016894356	0.0017580062
17.627586	0	-0.0021471107	-0.0023119423	-0.0022911783	-0.0023867548	-0.0029261092	-0.0037012953	-0.0029707815	-0.0024602001	-0.0027863187	-0.0030383373	-0.0033778235	-0.0038081656	-0.0042693543	-0.0046119602	-0.00053827266	0.0017006963	0.0019434739	0.001773287	0.0017685613	0.0020470636	0.0018582132	0.0017419103	0.0016587444	0.0016125174	0.0016144899	0.0016595899	0.0017311557	0.001818506	0.0019173758	0.0020270386	0.0021489129	0.0022852546	0.0024308044	0.0025237301
20.565517	0	-0.0029056655	-0.0031224095	-0.0030948288	-0.0032237853	-0.0039437173	-0.004957198	-0.0039822228	-0.0033178328	-0.0037553501	-0.0040904786	-0.0045408369	-0.0051095424	-0.0057222688	-0.0061777332	-0.00070179415	0.0023124181	0.0026403798	0.0024113739	0.0024061634	0.0027828324	0.0025242389	0.002367666	0.0022558633	0.0021939838	0.0021974172	0.0022593154	0.0023570561	0.0024761419	0.0026107885	0.0027600067	0.0029256552	0.0031103933	0.0033050233	0.0034215504
23.503448	0	-0.00377076	-0.0040430075	-0.0040079604	-0.0041747123	-0.0050942109	-0.0063570479	-0.0051141732	-0.0042892782	-0.0048511344	-0.0052772172	-0.005847935	-0.0065648389	-0.0073358583	-0.0079033133	-0.00087200159	0.0030168012	0.0034414375	0.0031462638	0.0031412757	0.0036295727	0.0032896388	0.0030877157	0.0029437676	0.0028644964	0.002870099	0.0029517138	0.0030798753	0.0032357083	0.0034116892	0.0036065205	0.0038225006	0.0040623652	0.004310573	0.0044468836
26.441379	0	-0.0047388402	-0.0050688191	-0.0050257874	-0.0052344929	-0.006369508	-0.0078842654	-0.0063559734	-0.005368587	-0.0060661212	-0.0065893027	-0.0072872029	-0.0081580368	-0.0090884345	-0.0097619155	-0.0010424309	0.0038133457	0.0043454846	0.0039774896	0.0039737443	0.0045863751	0.0041532698	0.0039013724	0.0037221347	0.0036240038	0.0036326822	0.0037370718	0.0038999939	0.0040976443	0.0043205432	0.0045670331	0.004839792	0.0051409837	0.0054450962	0.0055938331
