x	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
97.2	4.2729614	4.1098875	4.0913238	4.0323986	3.9305377	3.8848349	3.8361771	3.790165	3.7467195	3.6770342	3.66083	3.6445972	3.6284382	3.6127286	3.5981906	3.6114041	3.6926293	3.7868705	3.8024851	3.8192531	3.8545976	3.9297617	3.9540129	3.9794874	4.0043481	4.0277866	4.0497606	4.0706634	4.0912394	4.1123263	4.134665	4.1587197	4.1843532	4.2102823	4.2314319
99.806897	4.2729614	4.109871	4.0913115	4.0323863	3.930525	3.8848226	3.8361651	3.7901528	3.7467069	3.6770215	3.6608173	3.6445846	3.6284256	3.6127161	3.5981781	3.6114213	3.6926468	3.7868844	3.8024987	3.8192664	3.8546104	3.9297738	3.954025	3.9794996	4.0043605	4.0277991	4.0497731	4.0706759	4.0912517	4.1123384	4.134677	4.1587317	4.1843652	4.2102945	4.2314445
102.41379	4.2729614	4.1098218	4.0912744	4.0323494	3.9304872	3.8847858	3.8361291	3.7901162	3.746669	3.6769833	3.6607793	3.6445468	3.6283879	3.6126785	3.5981406	3.6114723	3.6926986	3.7869259	3.8025393	3.8193062	3.8546487	3.9298099	3.9540613	3.9795363	4.0043977	4.0278366	4.0498106	4.0707132	4.0912886	4.1123749	4.1347131	4.1587676	4.1844012	4.210331	4.2314821
105.02069	4.2729614	4.1097407	4.0912126	4.0322881	3.9304242	3.8847245	3.836069	3.7900553	3.7466061	3.6769198	3.6607161	3.6444838	3.6283252	3.612616	3.5980783	3.6115555	3.6927835	3.7869946	3.8026065	3.8193722	3.8547125	3.9298702	3.9541218	3.9795974	4.0044595	4.0278989	4.0498731	4.0707754	4.0913501	4.1124357	4.1347733	4.1588276	4.1844613	4.2103918	4.2315446
107.62759	4.2729614	4.1096285	4.091126	4.0322022	3.9303362	3.8846387	3.8359848	3.78997	3.7465183	3.6768311	3.6606278	3.6443958	3.6282375	3.6125286	3.5979912	3.6116695	3.6929003	3.7870902	3.8027001	3.8194642	3.8548016	3.9299546	3.9542065	3.9796828	4.0045459	4.0279861	4.0499605	4.0708623	4.0914362	4.1125208	4.1348577	4.1589116	4.1845454	4.2104769	4.2316318
110.23448	4.2729614	4.1094861	4.0910147	4.032092	3.9302233	3.8845284	3.8358766	3.7898604	3.7464056	3.6767174	3.6605145	3.6442829	3.628125	3.6124164	3.5978793	3.611813	3.6930476	3.7872122	3.8028197	3.8195819	3.8549158	3.9300632	3.9543154	3.9797927	4.0046569	4.028098	4.0500726	4.0709739	4.0915468	4.1126303	4.1349663	4.1590197	4.1846537	4.2105863	4.2317437
112.84138	4.2729614	4.1093146	4.0908787	4.0319574	3.9300856	3.8843935	3.8357441	3.7897265	3.7462683	3.6765788	3.6603763	3.6441452	3.6279876	3.6122794	3.5977427	3.6119848	3.6932244	3.7873604	3.8029651	3.8197251	3.8550551	3.9301959	3.9544485	3.9799269	4.0047924	4.0282345	4.0502094	4.0711102	4.0916819	4.1127641	4.1350991	4.1591519	4.1847861	4.21072	4.2318802
115.44828	4.2729614	4.1091149	4.0907179	4.0317985	3.9299232	3.8842342	3.8355874	3.7895683	3.7461063	3.6764154	3.6602134	3.6439827	3.6278256	3.6121178	3.5975815	3.6121838	3.6934297	3.7875343	3.8031361	3.8198937	3.8552193	3.9303529	3.9546058	3.9800855	4.0049524	4.0283956	4.0503708	4.071271	4.0918415	4.1129223	4.1352561	4.1593083	4.1849427	4.2108779	4.2320412
118.05517	4.2729614	4.108888	4.0905323	4.0316152	3.9297362	3.8840505	3.8354065	3.7893859	3.7459198	3.6762273	3.6600258	3.6437956	3.627639	3.6119316	3.5973958	3.6124089	3.6936625	3.7877338	3.8033323	3.8200873	3.8554083	3.9305342	3.9547875	3.9802683	4.0051368	4.0285812	4.0505568	4.0714564	4.0920256	4.1131049	4.1354374	4.1594889	4.1851235	4.2110602	4.2322266
120.66207	4.2729614	4.1086348	4.0903219	4.0314077	3.9295246	3.8838423	3.8352014	3.7891791	3.7457088	3.6760145	3.6598136	3.6435839	3.6274278	3.6117208	3.5971855	3.6126593	3.6939218	3.7879584	3.8035535	3.8203058	3.8556221	3.9307397	3.9549933	3.9804755	4.0053457	4.0287913	4.0507673	4.0716663	4.0922341	4.1133118	4.1356429	4.1596938	4.1853285	4.2112667	4.2324364
