r(x_rel=0.75)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	29866	29722.366	29030.536	27300.429	23744.312	21938.156	20310.753	18847.496	17224.455	13696.979	12813.524	11954.985	11147.52	10408.781	9734.8854	2200.8633	1923.959	4072.106	4910.1988	5770.3364	7545.1398	10876.875	11706.185	12554.946	13424.625	14315.735	15236.459	16200.644	17212.755	18240.831	19204.9	20040.55	20767.128	21450.933	22073.624
0.20206897	29866	29718.431	29023.739	27293.134	23736.877	21930.811	20304.677	18841.291	17217.362	13689.632	12806.288	11948.062	11141.127	10402.99	9729.5603	2195.5075	1921.4407	4078.9716	4917.1568	5777.5606	7552.4388	10883.622	11713.095	12562.039	13431.882	14323.183	15244.206	16208.808	17221.287	18249.244	19212.381	20046.863	20772.802	21456.534	22079.426
0.40413793	29866	29714.469	29016.939	27285.838	23729.441	21923.467	20298.603	18835.083	17210.268	13682.285	12799.053	11941.141	11134.736	10397.201	9724.2368	2190.1513	1918.9567	4085.8368	4924.116	5784.786	7559.7369	10890.37	11720.006	12569.132	13439.14	14330.632	15251.955	16216.973	17229.821	18257.655	19219.856	20053.171	20778.475	21462.135	22085.23
0.6062069	29866	29708.865	29007.412	27275.625	23719.029	21913.189	20290.105	18826.387	17200.335	13671.999	12788.926	11931.456	11125.794	10389.102	9716.7868	2182.6517	1915.553	4095.4473	4933.8611	5794.9039	7569.9521	10899.818	11729.682	12579.064	13449.303	14341.063	15262.806	16228.409	17241.77	18269.426	19230.31	20061.995	20786.414	21469.977	22093.359
0.80827586	29866	29701.333	28994.76	27262.077	23705.216	21899.561	20278.841	18814.842	17187.154	13658.355	12775.495	11918.615	11113.943	10378.368	9706.9095	2172.7025	1911.1704	4108.1946	4946.7926	5808.33	7583.4992	10912.353	11742.522	12592.242	13462.787	14354.903	15277.207	16243.586	17257.625	18285.033	19244.157	20073.683	20796.942	21480.382	22104.147
1.0103448	29866	29691.714	28978.844	27245.056	23687.857	21882.448	20264.704	18800.322	17170.587	13641.213	12758.624	11902.493	11099.068	10364.896	9694.5081	2160.2025	1905.879	4124.2082	4963.0464	5825.2055	7600.5141	10928.107	11758.658	12608.803	13479.732	14372.298	15295.31	16262.667	17277.553	18304.627	19261.522	20088.343	20810.162	21493.459	22117.709
1.2124138	29866	29679.87	28959.592	27224.498	23666.888	21861.793	20247.651	18782.762	17150.57	13620.511	12738.256	11883.036	11081.124	10348.646	9679.5423	2145.108	1899.8107	4143.5467	4982.6876	5845.5976	7621.0556	10947.14	11778.154	12628.811	13500.204	14393.315	15317.188	16285.728	17301.63	18328.274	19282.447	20106.014	20826.12	21509.259	22134.101
1.4144828	29866	29665.663	28936.955	27200.369	23642.269	21837.57	20227.666	18762.122	17127.065	13596.213	12714.359	11860.223	11060.096	10329.602	9661.994	2127.4009	1893.1471	4166.2407	5005.754	5869.5456	7645.1528	10969.486	11801.047	12652.304	13524.24	14417.995	15342.885	16312.819	17329.903	18355.998	19306.94	20126.704	20844.836	21527.81	22153.356
1.6165517	29866	29648.946	28910.896	27172.649	23613.978	21809.769	20204.745	18738.369	17100.045	13568.302	12686.919	11834.044	11035.98	10307.764	9641.8563	2107.0783	1886.1169	4192.3084	5032.2718	5897.0764	7672.8198	10995.169	11827.359	12679.305	13551.864	14446.363	15372.432	16343.973	17362.401	18387.811	19334.988	20150.407	20866.32	21549.132	22175.501
1.8186207	29866	29629.561	28881.383	27141.326	23581.998	21778.387	20178.892	18711.475	17069.494	13536.763	12655.929	11804.501	11008.782	10283.135	9619.1285	2084.1517	1878.9987	4221.7615	5062.2612	5928.2107	7704.0626	11024.206	11857.111	12709.831	13583.094	14478.441	15405.855	16379.218	17399.147	18423.709	19366.568	20177.108	20890.577	21573.241	22200.553
