x	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	0.092020002	0.16708178	0.16289623	0.15826188	0.15461947	0.15830816	0.1680795	0.18428671	0.18952872	0.19439382	0.19700444	0.20056709	0.20550787	0.21265406	0.22326204	0.55335022	0.38425308	0.15113712	0.13512503	0.12599853	0.10648342	0.066309773	0.062094101	0.059556255	0.057779057	0.05572739	0.053229915	0.050582554	0.047921144	0.045243495	0.042486438	0.039550442	0.036277222	0.032368442	0.027818912
2.937931	0.092020002	0.16708113	0.16289558	0.15826122	0.15461881	0.15830751	0.16807884	0.18428605	0.18952807	0.19439316	0.19700378	0.20056643	0.20550722	0.21265341	0.22326139	0.55335087	0.38425373	0.15113778	0.13512569	0.12599919	0.10648407	0.066310429	0.062094758	0.059556912	0.057779714	0.055728048	0.053230572	0.05058321	0.0479218	0.045244151	0.042487093	0.039551097	0.036277877	0.032369096	0.027819565
5.8758621	0.092020002	0.16708049	0.16289494	0.15826058	0.15461818	0.15830688	0.16807822	0.18428542	0.18952743	0.19439253	0.19700315	0.2005658	0.20550659	0.21265279	0.22326077	0.55335151	0.38425437	0.15113841	0.13512632	0.12599982	0.10648471	0.066311066	0.062095397	0.059557552	0.057780355	0.055728688	0.053231212	0.05058385	0.047922439	0.045244789	0.042487729	0.039551731	0.036278509	0.032369726	0.027820194
8.8137931	0.092020002	0.16707987	0.16289432	0.15825996	0.15461756	0.15830626	0.16807762	0.18428481	0.18952681	0.19439191	0.19700254	0.2005652	0.20550599	0.21265219	0.22326018	0.55335212	0.38425499	0.15113903	0.13512694	0.12600044	0.10648532	0.066311685	0.062096018	0.059558175	0.057780979	0.055729312	0.053231835	0.050584471	0.047923059	0.045245407	0.042488345	0.039552345	0.03627912	0.032370333	0.027820798
11.751724	0.092020002	0.16707927	0.16289372	0.15825936	0.15461696	0.15830567	0.16807704	0.18428422	0.18952621	0.19439132	0.19700195	0.20056462	0.20550541	0.21265163	0.22325962	0.5533527	0.38425559	0.15113963	0.13512755	0.12600105	0.10648592	0.066312285	0.062096621	0.059558781	0.057781587	0.05572992	0.053232442	0.050585076	0.047923661	0.045246006	0.042488941	0.039552937	0.036279708	0.032370916	0.027821378
14.689655	0.092020002	0.16707869	0.16289313	0.15825877	0.15461638	0.15830511	0.16807649	0.18428365	0.18952563	0.19439075	0.19700139	0.20056406	0.20550487	0.21265109	0.22325909	0.55335327	0.38425617	0.1511402	0.13512813	0.12600163	0.10648649	0.066312866	0.062097207	0.05955937	0.057782178	0.055730511	0.053233031	0.050585663	0.047924245	0.045246586	0.042489518	0.039553509	0.036280274	0.032371476	0.027821933
17.627586	0.092020002	0.16707812	0.16289257	0.15825821	0.15461581	0.15830456	0.16807596	0.1842831	0.18952507	0.1943902	0.19700084	0.20056352	0.20550434	0.21265058	0.22325859	0.55335381	0.38425673	0.15114076	0.1351287	0.1260022	0.10648705	0.066313428	0.062097775	0.059559942	0.057782752	0.055731085	0.053233603	0.050586232	0.04792481	0.045247147	0.042490073	0.039554059	0.036280817	0.032372012	0.027822464
20.565517	0.092020002	0.16707758	0.16289202	0.15825766	0.15461527	0.15830403	0.16807546	0.18428257	0.18952453	0.19438967	0.19700032	0.20056301	0.20550385	0.21265009	0.22325812	0.55335433	0.38425727	0.1511413	0.13512925	0.12600275	0.10648758	0.066313972	0.062098325	0.059560497	0.057783309	0.055731642	0.053234158	0.050586783	0.047925356	0.045247688	0.042490608	0.039554587	0.036281337	0.032372523	0.027822971
23.503448	0.092020002	0.16707705	0.16289149	0.15825713	0.15461475	0.15830353	0.16807499	0.18428206	0.18952401	0.19438916	0.19699982	0.20056253	0.20550338	0.21264964	0.22325768	0.55335482	0.38425779	0.15114182	0.13512978	0.12600328	0.10648809	0.066314496	0.062098857	0.059561034	0.057783849	0.055732182	0.053234695	0.050587315	0.047925883	0.045248209	0.042491122	0.039555092	0.036281833	0.03237301	0.027823453
26.441379	0.092020002	0.16707655	0.16289098	0.15825662	0.15461424	0.15830306	0.16807454	0.18428157	0.1895235	0.19438867	0.19699935	0.20056207	0.20550293	0.21264922	0.22325726	0.5533553	0.38425829	0.15114232	0.13513029	0.12600379	0.10648858	0.066315002	0.062099371	0.059561554	0.057784372	0.055732704	0.053235214	0.050587829	0.047926391	0.045248709	0.042491614	0.039555575	0.036282306	0.032373472	0.027823912
