t(s)	jtot_cons
0	0
100	0.16624738
200	0.1411924
400	0.12130711
800	0.27760989
1000	0.4643565
1200	0.55603397
1400	0.31650685
1600	0.21108232
2000	0.44264755
2100	0.53030114
2200	0.62022772
2300	0.71418124
2400	0.8076748
2500	0.87149409
3600	-0.44134487
3660	-0.23154021
4000	-0.19500902
4100	-0.10619159
4200	-0.15846435
4400	-0.32650219
4800	-0.097107328
4900	-0.023990521
5000	0.021564343
5100	0.016743271
5200	-0.10628904
5300	-0.20924941
5400	-0.25282077
5500	-0.26956949
5600	-0.28195276
5700	-0.29873647
5800	-0.32332116
5900	-0.3579951
6000	-0.40363376
6090	-0.44434447
