x	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=5990
0	0.25	0.24614738	0.24613402	0.2461073	0.24605442	0.2460286	0.24600363	0.24598021	0.24595798	0.24591472	0.24590412	0.24589363	0.24588328	0.2458731	0.24586316	0.24576464	0.24575861	0.24572378	0.24571309	0.24570225	0.2456798	0.24562777	0.24561331	0.24559855	0.24558359	0.24556841	0.24555302	0.24553741	0.24552156	0.24550543	0.24548897	0.24547207	0.24545457	0.24543802
2.937931	0.25	0.24614738	0.24613402	0.24610731	0.24605446	0.24602864	0.24600369	0.24598028	0.24595804	0.24591478	0.24590418	0.24589369	0.24588334	0.24587316	0.24586322	0.24576464	0.24575861	0.24572377	0.24571308	0.24570224	0.24567979	0.24562772	0.24561326	0.24559849	0.24558352	0.24556833	0.24555293	0.2455373	0.24552144	0.2455053	0.24548882	0.2454719	0.24545437	0.2454378
5.8758621	0.25	0.24614739	0.24613404	0.24610735	0.24605455	0.24602877	0.24600385	0.24598046	0.24595823	0.24591497	0.24590437	0.24589388	0.24588353	0.24587335	0.2458634	0.24576464	0.24575861	0.24572377	0.24571307	0.24570222	0.24567975	0.24562759	0.24561309	0.2455983	0.24558329	0.24556808	0.24555264	0.24553698	0.24552107	0.24550488	0.24548835	0.24547138	0.24545378	0.24543714
8.8137931	0.25	0.2461474	0.24613407	0.24610742	0.24605471	0.24602897	0.24600411	0.24598075	0.24595853	0.24591527	0.24590467	0.24589418	0.24588384	0.24587366	0.24586371	0.24576464	0.24575861	0.24572376	0.24571305	0.24570219	0.24567968	0.24562737	0.24561283	0.24559798	0.24558292	0.24556765	0.24555216	0.24553643	0.24552046	0.24550419	0.24548757	0.2454705	0.24545279	0.24543602
11.751724	0.25	0.24614741	0.2461341	0.24610751	0.24605492	0.24602925	0.24600446	0.24598115	0.24595894	0.24591568	0.24590508	0.2458946	0.24588425	0.24587407	0.24586412	0.24576464	0.24575861	0.24572374	0.24571302	0.24570215	0.24567959	0.24562706	0.24561244	0.24559753	0.2455824	0.24556705	0.24555147	0.24553566	0.24551958	0.24550321	0.24548646	0.24546925	0.24545138	0.24543444
14.689655	0.25	0.24614742	0.24613415	0.24610763	0.24605518	0.2460296	0.2460049	0.24598165	0.24595945	0.24591618	0.24590559	0.2458951	0.24588476	0.24587458	0.24586463	0.24576464	0.24575861	0.24572372	0.24571299	0.2457021	0.24567947	0.24562665	0.24561194	0.24559694	0.24558171	0.24556627	0.24555058	0.24553465	0.24551844	0.24550192	0.24548502	0.24546762	0.24544953	0.24543237
17.627586	0.25	0.24614744	0.2461342	0.24610776	0.24605549	0.24603001	0.24600541	0.24598223	0.24596003	0.24591677	0.24590617	0.24589569	0.24588535	0.24587517	0.24586522	0.24576464	0.24575861	0.2457237	0.24571294	0.24570203	0.24567932	0.24562614	0.24561132	0.2455962	0.24558086	0.24556529	0.24554947	0.24553339	0.24551702	0.24550032	0.24548321	0.24546558	0.24544723	0.24542977
20.565517	0.25	0.24614746	0.24613427	0.24610792	0.24605584	0.24603047	0.24600599	0.24598287	0.24596069	0.24591742	0.24590683	0.24589634	0.245886	0.24587582	0.24586586	0.24576464	0.24575861	0.24572366	0.24571289	0.24570194	0.24567914	0.24562553	0.24561057	0.24559531	0.24557983	0.24556411	0.24554812	0.24553186	0.2455153	0.24549838	0.24548103	0.24546312	0.24544444	0.24542663
23.503448	0.25	0.24614748	0.24613433	0.24610809	0.24605623	0.24603097	0.24600661	0.24598356	0.24596139	0.24591812	0.24590753	0.24589705	0.2458867	0.24587652	0.24586655	0.24576464	0.24575861	0.24572363	0.24571282	0.24570184	0.24567892	0.2456248	0.24560968	0.24559426	0.24557861	0.24556271	0.24554653	0.24553006	0.24551326	0.24549608	0.24547843	0.24546019	0.24544111	0.24542288
26.441379	0.25	0.24614751	0.24613441	0.24610827	0.24605664	0.2460315	0.24600727	0.24598429	0.24596213	0.24591886	0.24590826	0.24589778	0.24588743	0.24587725	0.24586727	0.24576464	0.24575861	0.24572359	0.24571275	0.24570173	0.24567867	0.24562394	0.24560864	0.24559303	0.24557718	0.24556107	0.24554467	0.24552795	0.24551088	0.24549339	0.2454754	0.24545676	0.24543722	0.24541848
