x	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=5990
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.937931	0	-6.1432895e-05	-6.6650767e-05	-6.6010893e-05	-6.8869576e-05	-8.5033423e-05	-0.00010937616	-8.81978e-05	-7.1396245e-05	-8.1067757e-05	-8.8713613e-05	-9.8999962e-05	-0.00011140315	-0.00012061428	-0.00012920487	3.4503935e-05	5.2447252e-05	4.9985429e-05	4.9302719e-05	5.2320567e-05	6.0247961e-05	4.9610601e-05	4.7026064e-05	4.5481984e-05	4.5289843e-05	4.6376893e-05	4.8268079e-05	5.0632185e-05	5.3330103e-05	5.6329348e-05	5.9661998e-05	6.340481e-05	6.7570311e-05	7.1047199e-05
5.8758621	0	-0.0002453712	-0.00026606876	-0.0002635248	-0.00027493765	-0.00033932059	-0.00043592447	-0.0003513715	-0.00028489636	-0.00032347836	-0.00035391847	-0.000394879	-0.00044619146	-0.00048354276	-0.00051777222	0.00013806915	0.00020975326	0.00019989224	0.00019718631	0.00020925624	0.00024087717	0.00019836702	0.00018805765	0.00018190296	0.00018115002	0.00018550885	0.00019308046	0.0002025409	0.0002133342	0.0002253306	0.00023865786	0.00025361957	0.000270248	0.00028404356
8.8137931	0	-0.00055074719	-0.00059667347	-0.00059100706	-0.0006166028	-0.00076043353	-0.00097486546	-0.00078533709	-0.00063846675	-0.00072487357	-0.00079281607	-0.00088425405	-0.00099962198	-0.0010920772	-0.0011685893	0.00031085775	0.00047181162	0.00044957401	0.00044357896	0.00047073056	0.00054154495	0.00044604594	0.00042295745	0.00040919039	0.00040755468	0.00041740196	0.00043446391	0.000455765	0.00048005617	0.00050704597	0.0005370198	0.00057064726	0.00060793099	0.00063853695
11.751724	0	-0.00097582428	-0.0010559039	-0.0010459703	-0.0010912634	-0.0013443725	-0.0017181638	-0.0013833796	-0.0011288247	-0.0012813945	-0.0014007879	-0.0015614512	-0.0017646258	-0.001951823	-0.0020865732	0.00055314511	0.00083844706	0.00079879318	0.0007883664	0.00083662051	0.00096168419	0.0007922839	0.00075150432	0.00072723039	0.00072446731	0.00074207277	0.00077246949	0.00081037593	0.00085357605	0.00090155308	0.00095480869	0.0010144976	0.0010804385	0.0011337153
14.689655	0	-0.0015182602	-0.001640327	-0.0016250793	-0.0016954202	-0.0020856693	-0.0026546043	-0.0021366526	-0.001751597	-0.001987809	-0.0021715099	-0.0024185569	-0.0027310329	-0.003042267	-0.0032767736	0.00086532555	0.0013094178	0.0012472294	0.0012313993	0.0013067621	0.0015005089	0.0012365899	0.0011734042	0.0011358773	0.0011318496	0.0011595568	0.0012071811	0.0012664863	0.001334019	0.0014089742	0.001492123	0.0015851912	0.0016874879	0.0017683075
17.627586	0	-0.0021751956	-0.0023457898	-0.0023242969	-0.0024248252	-0.0029775839	-0.003770158	-0.0030347306	-0.0025015377	-0.0028377219	-0.0030971826	-0.0034456493	-0.0038857481	-0.0043399344	-0.004686013	0.0012479183	0.0018844178	0.0017944915	0.0017725033	0.001880958	0.0021570223	0.0017783628	0.0016883055	0.0016349672	0.0016296736	0.0016699206	0.0017387271	0.0018242622	0.0019215678	0.002029489	0.0021491109	0.0022827631	0.002428649	0.0025404261
20.565517	0	-0.0029433667	-0.0031676083	-0.003139068	-0.0032746722	-0.0040124087	-0.005048706	-0.0040662711	-0.0033727934	-0.0038238713	-0.0041688954	-0.0046312636	-0.0052133734	-0.0058236536	-0.0062867384	0.0017015734	0.0025630807	0.0024401328	0.0024114924	0.0025589869	0.0029300264	0.0024169135	0.002295818	0.0022243348	0.0022179378	0.0022732768	0.0023672962	0.0024839383	0.0026164791	0.0027633514	0.0029259845	0.0031072601	0.0033032584	0.0034473448
23.503448	0	-0.0038192371	-0.0041007831	-0.0040645289	-0.0042398212	-0.0051818643	-0.0064730422	-0.0052197117	-0.0043591965	-0.0049384939	-0.0053771023	-0.0059630603	-0.0066972295	-0.0074704816	-0.0080496497	0.002227078	0.0033449853	0.0031836697	0.0031481841	0.0033406144	0.0038181355	0.0031514918	0.0029955368	0.0029038349	0.0028966864	0.0029698027	0.0030931553	0.0032458374	0.0034191027	0.0036109087	0.003823035	0.004058726	0.0043102658	0.004485224
26.441379	0	-0.0047991422	-0.0051402264	-0.0050957287	-0.0053150387	-0.0064775404	-0.0080259605	-0.0064839166	-0.0054545613	-0.0061737226	-0.0067121495	-0.007428587	-0.0083205521	-0.0092576783	-0.0099465896	0.0028253614	0.0042296632	0.004024604	0.0039824184	0.004225606	0.0048197915	0.0039813174	0.0037870694	0.003673366	0.003666032	0.003759763	0.0039166721	0.0041103927	0.0043299048	0.0045726242	0.0048406459	0.0051371564	0.0054479757	0.0056488551
