t(s)	total_current_estimated(A)
0	0
0.05	-5
0.1	-5
0.2	-5
0.4	-5
0.8	-5
1.6	-5
3.2	-5
6.4	-5
12.8	-5
25.6	-5
38.4	-5
51.2	-5
64	-5
89.6	-5
100	-5
125.6	-5
151.2	-5
176.8	-5
200	-5
225.6	-5
276.8	-5
328	-5
400	-5
451.2	-5
541.2	-5
631.2	-5
721.2	-5
800	-5
890	-5
980	-5
1000	-5
1090	-5
1180	-5
1200	-5
1290	-5
1380	-5
1400	-5
1490	-5
1580	-5
1600	-5
1690	-5
1780	-5
1870	-5
1960	-5
2000	-5
2090	-5
2100	-5
2190	-5
2200	-5
2290	-5
2300	-5
2390	-5
2400	-5
2490	-5
2500	-5
2590	-5
2680	-5
2770	-5
2860	-5
2950	-5
3040	-5
3130	-5
3220	-5
3310	-5
3400	-5
3490	-5
3580	-5
3600	5
3660	5
3660	5
3680	5
3700	5
3740	5
3820	5
3900	5
3980	5
4000	5
4080	5
4100	5
4180	5
4200	5
4280	5
4360	5
4400	5
4480	5
4560	5
4640	5
4730	5
4800	5
4890	5
4900	5
4990	5
5000	5
5090	5
5100	5
5190	5
5200	5
5290	5
5300	5
5390	5
5400	5
5490	5
5500	5
5590	5
5600	5
5690	5
5700	5
5790	5
5800	5
5890	5
5900	5
5990	5
6000	5
6090	5
