t(s)	total_voltage(V)
0	4.1809414
0.05	4.0349156
0.1	4.0342978
0.2	4.0330892
0.4	4.0307956
0.8	4.0266972
1.6	4.0200578
3.2	4.0105025
6.4	3.9978963
12.8	3.9816799
25.6	3.9618252
38.4	3.9501333
51.2	3.9431067
64	3.9386569
89.6	3.9332328
100	3.9317586
125.6	3.9286688
151.2	3.9256107
176.8	3.9220739
200	3.9181179
225.6	3.9128806
276.8	3.9000754
328	3.8853908
400	3.8639174
451.2	3.8491288
541.2	3.8250844
631.2	3.8035505
721.2	3.783431
800	3.7656364
890	3.7443078
980	3.7215843
1000	3.7163054
1090	3.6913737
1180	3.6642778
1200	3.6579544
1290	3.6289516
1380	3.6014128
1400	3.5957417
1490	3.5720876
1580	3.5512739
1600	3.5469787
1690	3.5288569
1780	3.5120996
1870	3.4959162
1960	3.4797055
2000	3.4723868
2090	3.4554998
2100	3.4535794
2190	3.4358243
2200	3.4337929
2290	3.4148828
2300	3.4127035
2390	3.3922404
2400	3.3898608
2490	3.3673603
2500	3.3647366
2590	3.3402507
2680	3.3152763
2770	3.2910267
2860	3.2666425
2950	3.2395128
3040	3.2055711
3130	3.1541002
3220	3.0738762
3310	2.9863088
3400	2.8865014
3490	2.7182158
3580	2.3670122
3600	3.0682615
3660	3.3196178
3660	3.3196178
3680	3.3535915
3700	3.3814266
3740	3.4293097
3820	3.5150693
3900	3.5885685
3980	3.6367546
4000	3.6452489
4080	3.6714135
4100	3.6768659
4180	3.6975772
4200	3.7027251
4280	3.7238376
4360	3.7460315
4400	3.7575042
4480	3.7809167
4560	3.8044116
4640	3.8274542
4730	3.8528661
4800	3.8725749
4890	3.8981147
4900	3.9009518
4990	3.9262082
5000	3.9289591
5090	3.953048
5100	3.955656
5190	3.9786975
5200	3.9812099
5290	4.0033273
5300	4.0057309
5390	4.0269692
5400	4.0292962
5490	4.0501785
5500	4.0525063
5590	4.0737924
5600	4.0762081
5690	4.0986412
5700	4.10122
5790	4.1253448
5800	4.1281277
5890	4.1540325
5900	4.1569898
5990	4.1839038
6000	4.1868854
6090	4.2127979
