x	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	1000	1712.944	1761.0606	1761.6581	1781.9503	1873.9183	1950.9196	1847.6408	1786.2265	1848.2227	1888.7129	1938.0781	1993.0064	2044.7642	2076.5121	1333.8037	559.25326	481.42198	494.36904	493.16348	470.55786	488.34683	497.43094	503.90971	506.97592	504.52177	496.83094	486.90431	476.99176	468.09999	460.64439	454.85502	451.02648	449.87468	452.66832
2.937931	1000	1711.2059	1759.0519	1759.6617	1779.8595	1871.208	1947.2483	1844.8156	1784.0401	1845.669	1885.8594	1934.8133	1989.2122	2040.5404	2071.9226	1332.4404	559.68315	481.83602	494.75427	493.54343	470.97789	488.74837	497.81308	504.27708	507.33386	504.87683	497.18941	487.27051	477.3687	468.49027	461.05075	455.28079	451.47605	450.35326	453.17297
5.8758621	1000	1706.0132	1753.0573	1753.7034	1773.6196	1863.1272	1936.327	1836.4131	1777.5196	1838.0551	1877.3553	1925.0873	1977.9136	2027.8652	2058.1602	1328.3842	560.97338	483.07947	495.91138	494.68481	472.23975	489.95417	498.96071	505.38046	508.40903	505.94345	498.26639	488.37083	478.50139	469.66313	462.27204	456.56054	452.82742	451.79172	454.68892
8.8137931	1000	1697.4297	1743.1699	1743.8747	1763.3271	1849.8244	1918.4336	1822.6476	1766.7794	1825.5211	1863.3681	1909.106	1959.3644	2006.7278	2035.244	1321.7336	563.12579	485.15641	497.8446	496.59236	474.34871	491.96772	500.87744	507.22364	510.20546	507.72596	500.06661	490.21045	480.39549	471.62478	464.31503	458.70165	455.0886	454.19819	457.22212
11.751724	1000	1685.5591	1729.5402	1730.3236	1749.1385	1831.5423	1894.0266	1803.8613	1752.0036	1808.2946	1844.1718	1887.209	1933.9926	1977.358	2003.2071	1312.6461	566.14359	488.07372	500.56109	499.27398	477.31364	494.79492	503.56935	509.81302	512.72992	510.23169	502.59807	492.79811	483.06056	474.3856	467.19106	461.71653	458.27303	457.58619	460.78191
14.689655	1000	1670.5417	1712.37	1713.2482	1731.2637	1808.6094	1863.7303	1780.5011	1733.4375	1786.6817	1820.1366	1859.8611	1902.3963	1940.9134	1962.8369	1301.3287	570.03168	491.8411	504.07097	502.74095	481.14705	498.44416	507.04512	513.15775	515.99208	513.47104	505.87213	496.14625	486.51016	477.96042	470.91631	465.62284	462.39979	461.97447	465.38019
17.627586	1000	1652.5494	1691.9028	1692.8883	1709.9573	1781.4261	1828.3035	1753.0892	1711.3746	1761.0531	1791.7129	1827.6326	1865.3221	1898.3841	1916.028	1288.0261	574.79701	496.47129	508.38755	507.00799	485.86516	502.92646	511.31618	517.26982	520.00467	517.45769	509.90371	500.27119	490.76213	482.36869	475.51201	470.44374	467.49371	467.38673	471.03
20.565517	1000	1631.7794	1668.4139	1669.5148	1685.5075	1750.4456	1788.5919	1722.1885	1686.1433	1731.8264	1759.4083	1791.1692	1823.6215	1850.9071	1864.2055	1273.0085	580.44907	501.98016	513.52743	512.09352	491.48808	508.25568	516.39689	522.16434	524.78365	522.20884	514.71157	505.19343	495.83884	487.63482	481.00479	476.20825	473.58566	473.85088	477.74361
23.503448	1000	1608.4477	1642.198	1643.4182	1658.2239	1716.1516	1745.4694	1688.3685	1658.0908	1699.4457	1723.761	1751.1529	1778.1909	1799.668	1808.8204	1256.5595	587.00045	508.38699	519.51082	518.01991	498.03991	514.44874	522.30482	527.85978	530.34855	527.74547	520.31856	510.93797	501.7676	493.78858	487.42715	482.95166	480.71256	481.39775	485.53021
26.441379	1000	1582.7816	1613.5583	1614.8976	1628.4249	1679.0343	1699.781	1652.1755	1627.5687	1664.3606	1685.3115	1708.2619	1729.9082	1745.7985	1751.2079	1238.965	594.46747	515.71469	526.3618	524.81381	505.54893	521.52594	529.06108	534.37833	536.72279	534.09272	526.7521	517.53474	508.5811	500.86565	494.81796	490.71603	488.91736	490.05881	494.39377
29.37931	1000	1555.0125	1582.7949	1584.2496	1596.4262	1639.5692	1652.2969	1614.1094	1594.9194	1627.0074	1644.578	1663.135	1679.5797	1690.2989	1692.4911	1220.5049	602.87078	523.99017	534.10874	532.5065	514.04786	529.51133	536.69073	541.74632	543.93413	541.28038	534.04457	525.01914	516.31796	508.90816	503.22313	499.55066	498.24829	499.86261	504.33218
32.317241	1000	1525.3698	1550.1961	1551.7591	1562.5309	1598.1995	1603.684	1574.6101	1560.4664	1587.7936	1602.0371	1616.3468	1627.9073	1633.9965	1633.5464	1201.4464	612.23609	533.24476	542.78473	541.13444	523.57407	538.43318	545.22327	549.99468	552.01518	549.34337	542.23397	533.43267	525.02351	517.96555	512.69637	509.51243	508.75709	510.83059	515.33853
35.255172	1000	1494.0745	1516.0312	1517.6928	1527.0215	1555.326	1554.4936	1534.0512	1524.506	1547.0884	1558.1123	1568.3948	1575.4753	1577.5406	1575.0145	1182.0402	622.59475	543.51468	552.42813	550.73976	534.16993	548.32454	554.69323	559.15966	561.00401	558.32245	551.36462	542.8237	534.75054	528.09538	523.30001	520.66585	520.49538	522.97371	527.40494
38.193103	1000	1461.3354	1480.5457	1482.2941	1490.1551	1511.3017	1505.1636	1492.7402	1487.3034	1505.2168	1513.1696	1519.6968	1522.7541	1521.4179	1517.3372	1162.5182	633.98437	554.84167	563.08329	561.37099	545.88316	559.22396	565.14089	569.28346	570.94498	568.26501	561.48796	553.24842	545.5604	539.36445	535.10584	533.08191	533.50862	536.29248	540.52779
41.131034	1000	1427.3458	1443.9587	1445.7804	1452.1604	1466.4325	1456.0282	1450.9237	1449.0909	1462.4589	1467.5179	1470.5963	1470.1129	1465.9802	1460.8015	1143.0933	646.44953	567.27375	574.80136	573.0838	558.76731	571.17627	576.61321	580.41522	581.88959	579.22602	572.66369	564.77195	557.52416	551.85004	548.1957	546.83499	547.82907	550.78194	554.71312
44.068966	1000	1392.281	1406.4621	1408.3423	1413.2374	1420.9811	1407.3316	1408.7944	1410.0685	1419.0516	1421.4142	1421.3716	1417.8363	1411.4725	1405.5805	1123.9601	660.0424	580.86609	587.64125	585.94199	572.8823	584.23365	589.16484	592.61209	593.89765	591.26921	584.96092	577.46975	570.72416	565.64123	562.66116	561.99592	563.4719	566.44023	569.98109
47.006897	1000	1356.298	1368.2211	1370.144	1373.5577	1375.1736	1359.2436	1366.4993	1370.4053	1375.1932	1375.0707	1372.2475	1366.1409	1358.0581	1351.7653	1105.2967	674.82364	595.68218	601.67089	600.01859	588.29513	598.45691	602.85947	605.94056	607.03858	604.4685	598.45979	591.42924	585.25568	580.84017	578.60102	578.62163	580.43966	583.27749	586.36908
49.944828	1000	1319.5352	1329.3758	1331.3249	1333.2669	1329.2065	1311.8734	1324.1473	1330.2426	1331.0482	1328.662	1323.4051	1315.1895	1305.8389	1299.391	1087.2671	690.86327	611.79511	616.96868	615.39715	605.08084	613.91695	617.77141	620.47808	621.39312	618.90968	613.25328	606.75187	601.22899	597.56258	596.11395	596.7465	598.73458	601.3227	603.93367
52.882759	1000	1282.1128	1290.0431	1292.0016	1292.4872	1283.2527	1265.2824	1281.8174	1289.6967	1286.7532	1282.3334	1274.9918	1265.1023	1254.8719	1248.4544	1070.0233	708.24192	629.28933	633.62529	632.17334	623.32358	630.69675	633.98759	636.3151	637.05534	634.69259	629.44953	623.55556	618.77142	615.93595	615.28506	616.385	618.37299	620.62797	622.75182
55.82069	1000	1244.1342	1250.3197	1252.2699	1251.3205	1237.4658	1219.4955	1239.5641	1248.8628	1242.4229	1236.2074	1227.1281	1215.9656	1205.1803	1198.9269	1053.7085	727.05225	648.26271	651.74593	650.45686	643.11818	648.89372	651.61002	653.55755	654.13516	651.93374	647.1747	641.97761	638.0289	636.09179	636.17193	637.54839	639.3961	641.27088	642.92158
58.758621	1000	1205.6869	1210.2836	1212.2079	1209.8518	1191.9817	1174.5097	1197.4234	1207.8175	1198.1548	1190.3897	1179.9128	1167.8382	1156.7631	1150.7638	1038.4599	747.4009	668.82918	671.45305	670.3736	664.57209	668.62271	670.75888	672.32994	672.76145	670.76956	666.57643	662.17798	659.16497	658.14862	658.80553	660.26605	661.87626	663.35576	664.56287
61.696552	1000	1166.8443	1169.9972	1171.8777	1168.1529	1146.9181	1130.3022	1155.4169	1166.622	1154.0346	1144.9733	1133.4262	1120.7565	1109.6016	1103.9102	1024.411	769.41077	691.1221	692.88987	692.0685	687.80794	690.0198	691.57644	692.77931	693.08606	691.36057	687.82815	684.34219	682.35234	682.19231	683.21288	684.60122	685.92009	687.01464	687.81892
64.634483	1000	1127.6668	1129.5093	1131.3277	1126.2864	1102.3725	1086.8362	1113.5556	1125.3246	1110.14	1100.0414	1087.7325	1074.7384	1063.6648	1058.3058	1011.6951	793.22415	715.29855	716.22468	715.7089	712.96689	713.24724	714.23204	715.08027	715.28882	713.89658	711.13419	708.68147	707.75132	708.27652	709.44717	710.65948	711.67025	712.40875	712.85859
67.572414	1000	1088.2035	1088.8569	1090.5947	1084.3106	1058.4203	1044.0656	1071.8421	1083.9633	1066.5443	1055.6687	1042.8809	1029.7872	1018.9133	1013.8877	1000.4479	819.00661	741.54488	741.65641	741.4888	740.21308	738.49976	738.92868	739.44148	739.58407	738.60333	736.73482	735.42313	735.48367	736.45477	737.6092	738.59296	739.30726	739.73124	739.88004
70.510345	1000	1048.4934	1048.0666	1049.7052	1042.284	1015.1144	1001.9386	1030.273	1042.5678	1023.318	1011.9221	998.90683	985.89415	975.30197	970.59259	990.81062	846.95221	770.08414	769.42176	769.63442	769.73952	766.01303	765.91149	766.11423	766.22913	765.75062	764.908	764.78228	765.63613	766.82193	767.85838	768.6033	769.05259	769.21172	769.11596
73.448276	1000	1008.5663	1007.1566	1008.6771	1000.2708	972.48512	960.40027	988.84052	1001.161	980.53032	968.85924	955.8328	943.041	932.78235	928.35779	982.93352	877.29028	801.18584	799.80458	800.4114	801.77596	796.07491	795.47927	795.40384	795.5355	795.66115	795.95759	796.92913	798.30788	799.54185	800.41884	800.94559	801.17427	801.12309	800.84078
76.386207	1000	968.44417	966.13753	967.52082	958.3446	930.54195	919.39451	947.53351	959.76161	938.24797	926.52813	913.66976	901.20234	891.30422	887.12243	976.97954	910.29465	835.17942	833.14825	834.13465	836.59958	829.04085	828.00012	827.68512	827.88325	828.71518	830.17487	832.00323	833.66642	834.86181	835.58526	835.93545	835.99585	835.79126	835.38026
79.324138	1000	928.14192	925.01335	926.24013	916.58905	889.27626	878.86532	906.33865	918.38523	896.53363	884.96585	872.41821	860.34717	850.81666	846.82784	973.12877	946.29613	872.47284	869.87256	871.18203	874.54978	865.35539	863.93325	863.42379	863.73792	865.33431	867.80223	870.18581	871.98253	873.12277	873.73229	873.96094	873.90978	873.60865	873.12422
82.262069	1000	887.66793	883.7822	884.83295	875.09381	848.66416	838.75782	865.24109	877.04685	855.44338	844.19822	832.06969	820.44048	811.26891	807.41789	971.5837	985.70009	913.57911	910.49721	912.01387	916.04895	905.58304	903.86022	903.20579	903.66188	905.92851	909.07403	911.77367	913.65093	914.77279	915.33077	915.50129	915.39673	915.05271	914.5436
85.2	1000	847.02479	842.43692	843.292	833.9463	808.66979	799.01884	824.22515	835.76296	815.02432	804.24	792.6082	781.44441	772.61097	768.8392	972.57582	1029.0114	959.155	955.6756	957.20156	961.63242	950.45373	948.53072	947.77532	948.29128	950.86908	954.32763	957.22476	959.2113	960.38978	960.97432	961.15502	961.05315	960.71155	960.21347
86.057143	1000	840.3045	835.5382	836.34765	827.12593	802.06374	792.41261	817.36766	828.88087	808.35213	797.65635	786.11269	775.02597	766.24248	762.47105	969.53703	1036.1322	967.25781	963.70619	965.19637	969.66732	958.44688	956.49695	955.72444	956.23083	958.80848	962.28648	965.21217	967.22454	968.42282	969.02162	969.21249	969.11819	968.78334	968.29326
86.914286	1000	835.89597	830.96922	831.7408	822.61063	797.69321	788.02782	812.80618	824.3164	803.9354	793.2992	781.81381	770.77691	762.02365	758.24729	965.28355	1040.5463	972.72207	969.11382	970.56929	975.06635	963.83113	961.86121	961.07502	961.57191	964.14425	967.63238	970.57735	972.6084	973.82168	974.43179	974.6312	974.54373	974.21544	973.73338
