r(x_rel=1)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	17038	17038.005	17039.919	17196.057	19047.37	20586.636	22330.966	24187.283	26108.406	30045.164	31036.713	32028.771	33020.851	34012.819	35004.695	45941.699	46540.229	49543.62	49999.768	50162.472	49753.893	47201.634	46373.299	45501.081	44596.827	43668.105	42720.845	41759.832	40788.87	39810.851	38827.806	37841.019	36851.202	35858.702	34963.34
0.18	17038	17038.007	17040.334	17206.243	19085.467	20631.8	22379.995	24238.504	26160.93	30098.692	31090.281	32082.346	33074.421	34066.381	35058.255	45995.567	46594.1	49575.737	50015.664	50162.914	49731.53	47157.959	46327.072	45452.925	44547.191	43617.339	42669.232	41707.6	40736.199	39757.868	38774.598	37787.638	36797.67	35805.032	34909.555
0.36	17038	17038.009	17040.783	17216.645	19123.687	20677.033	22429.062	24289.747	26213.466	30152.222	31143.85	32135.921	33127.99	34119.944	35111.814	46049.437	46647.969	49607.429	50031.111	50162.972	49708.934	47114.207	46280.787	45404.724	44497.52	43566.546	42617.6	41655.355	40683.517	39704.879	38721.386	37734.251	36744.134	35751.358	34855.767
0.54	17038	17038.014	17041.491	17231.669	19177.458	20740.502	22497.835	24361.534	26287.046	30227.166	31218.847	32210.926	33202.986	34194.931	35186.798	46124.857	46723.385	49650.886	50051.78	50162.237	49676.804	47052.791	46215.863	45337.148	44427.907	43495.381	42545.273	41582.182	40609.742	39630.679	38646.878	37659.502	36669.175	35676.207	34780.457
0.72	17038	17038.022	17042.581	17252.423	19249.246	20824.948	22589.204	24456.843	26384.7	30326.589	31318.335	32310.422	33302.471	34294.404	35286.266	46224.911	46823.42	49706.907	50077.508	50159.828	49633.314	46971.035	46129.522	45247.338	44335.436	43400.882	42449.258	41485.064	40511.841	39532.226	38548.022	37560.328	36569.726	35576.504	34680.543
0.9	17038	17038.037	17044.216	17279.822	19340.164	20931.442	22704.22	24576.722	26507.47	30451.513	31443.335	32435.429	33427.462	34419.381	35411.239	46350.627	46949.095	49774.672	50107.153	50154.536	49577.304	46867.867	46020.699	45134.237	44219.051	43281.999	42328.512	41362.964	40388.781	39408.487	38423.788	37435.701	36444.755	35451.214	34554.991
1.08	17038	17038.063	17046.631	17314.88	19451.022	21060.638	22843.454	24721.698	26655.862	30602.408	31594.311	32586.41	33578.424	34570.326	35562.18	46502.48	47100.862	49852.62	50139.036	50144.854	49507.669	46742.608	45888.766	44997.251	44078.19	43138.192	42182.512	41215.376	40240.068	39258.979	38273.694	37285.139	36293.781	35299.858	34403.321
1.26	17038	17038.111	17050.161	17358.782	19582.562	21213.056	23007.306	24892.113	26830.18	30779.528	31771.515	32763.614	33755.605	34747.489	35739.34	46680.729	47278.953	49938.636	50171.055	50128.99	49423.231	46594.702	45733.238	44835.949	43912.461	42969.105	42010.932	41041.995	40065.413	39083.422	38097.47	37108.375	36116.537	35122.168	34225.268
1.44	17038	17038.198	17055.278	17412.909	19735.532	21389.171	23196.11	25088.229	27030.639	30983.031	31975.097	32967.19	33959.154	34951.019	35942.868	46885.532	47483.482	50030.106	50200.742	50104.896	49322.705	46423.625	45553.678	44649.96	43721.546	42774.46	41813.528	40842.605	39864.62	38881.633	37894.938	36905.235	35912.85	34917.974	34020.663
1.62	17038	17038.356	17062.638	17478.852	19910.706	21589.451	23410.17	25310.267	27257.41	31213.017	32205.154	33197.233	34189.166	35181.012	36172.861	47116.999	47714.487	50123.946	50225.295	50070.292	49204.697	46228.851	45349.66	44438.934	43505.154	42554.016	41590.098	40617.034	39637.54	38653.478	37665.972	36675.595	35682.6	34687.155	33789.389
